name,mean,min,median,max,count,70%,80%,90%
SL.rpart,-0.108,-0.108,-0.108,-0.108,1,-0.108,-0.108,-0.108
krlsPoly,-0.103,-0.202,-0.108,0.013,95,-0.077,-0.06,-0.041
lars2,-0.139,-1.205,-0.106,0.369,94,-0.014,0.016,0.105
lars,-0.127,-3,-0.103,0.437,94,-0.002,0.058,0.129
widekernelpls,-0.619,-3,-0.101,0.395,93,0.047,0.109,0.193
kernelpls,-0.529,-3,-0.095,0.381,95,0.006,0.106,0.225
xgbDART,-0.115,-0.599,-0.094,0.427,60,0,0.056,0.098
plsRglm,-0.16,-1.205,-0.093,0.349,90,0.008,0.081,0.126
lasso,-0.134,-3,-0.09,0.422,94,-0.008,0.049,0.13
leapBackward,-0.167,-1.779,-0.09,0.405,89,0.029,0.074,0.186
pcr,-0.064,-0.596,-0.088,0.423,94,0.002,0.069,0.149
ctree2,-0.122,-0.829,-0.088,0.234,90,0.004,0.076,0.127
glmboost,-0.125,-1.058,-0.086,0.253,94,0.024,0.091,0.151
BstLm,-0.11,-1.341,-0.085,0.327,93,0.001,0.054,0.148
h2oAutoml,-0.064,-0.083,-0.083,0.011,5,-0.083,-0.064,-0.027
SL.loess,-0.08,-0.08,-0.08,-0.08,1,-0.08,-0.08,-0.08
ctree,-0.098,-0.829,-0.08,0.234,90,0.014,0.076,0.13
xgbTree,-0.092,-0.758,-0.079,0.367,61,0.043,0.114,0.179
bagEarthGCV,-0.126,-1.197,-0.078,0.377,96,0.025,0.128,0.209
enet,-0.072,-0.934,-0.077,0.372,95,0.045,0.122,0.201
bridge,-0.09,-0.585,-0.076,0.12,70,-0.023,-0.002,0.032
blassoAveraged,-0.086,-0.344,-0.07,0.059,70,-0.028,-0.009,0.007
blasso,-0.089,-0.371,-0.068,0.059,70,-0.029,-0.019,0.005
glmnet,-0.118,-0.758,-0.065,0.369,95,0.01,0.074,0.134
icr,-0.102,-3,-0.064,0.322,93,0.002,0.019,0.079
cubist,-0.115,-0.764,-0.064,0.487,90,0.04,0.102,0.195
knn,-0.045,-0.667,-0.062,0.5,95,0.044,0.092,0.192
svmLinear2,-0.219,-2.207,-0.06,0.454,93,0.112,0.23,0.361
bagEarth,-0.075,-1.301,-0.054,0.331,96,0.08,0.097,0.166
rvmPoly,-0.029,-0.617,-0.051,0.474,61,0.055,0.163,0.21
SL.extraTrees,-0.047,-0.047,-0.047,-0.047,1,-0.047,-0.047,-0.047
gaussprRadial,-0.03,-0.32,-0.041,0.388,62,0.049,0.069,0.13
ridge,-0.079,-2.266,-0.036,0.385,93,0.112,0.183,0.237
xgbLinear,-0.103,-0.99,-0.034,0.677,61,0.033,0.154,0.242
krlsRadial,-0.048,-0.778,-0.033,0.42,94,0.067,0.109,0.158
svmRadial,-0.049,-1.068,-0.033,0.436,61,0.032,0.141,0.186
gbm,-0.098,-0.849,-0.026,0.372,93,0.08,0.127,0.2
SL.svm,-0.023,-0.023,-0.023,-0.023,1,-0.023,-0.023,-0.023
rf,-0.022,-0.468,-0.021,0.406,93,0.079,0.108,0.135
RRF,-0.02,-0.36,-0.02,0.27,76,0.07,0.107,0.144
parRF,-0.024,-0.42,-0.018,0.357,94,0.059,0.102,0.149
ranger,-0.017,-0.392,-0.017,0.331,89,0.074,0.098,0.127
svmRadialSigma,-0.075,-0.75,-0.017,0.395,61,0.097,0.113,0.247
cforest,-0.024,-0.53,-0.014,0.36,90,0.05,0.104,0.144
SBC,-0.069,-1.462,-0.009,0.609,93,0.15,0.219,0.352
Rborist,-0.024,-0.38,-0.008,0.423,76,0.058,0.099,0.146
RRFglobal,-0.02,-0.281,-0.007,0.273,76,0.054,0.107,0.164
svmRadialCost,-0.002,-0.408,-0.007,0.382,61,0.07,0.148,0.222
svmLinear3,-0.067,-0.835,-0.004,0.452,82,0.059,0.11,0.215
SL.gam,-0.003,-0.003,-0.003,-0.003,1,-0.003,-0.003,-0.003
gaussprPoly,-0.047,-0.632,-0.002,0.368,62,0.099,0.131,0.202
svmPoly,-0.028,-0.795,-0.002,0.575,61,0.106,0.17,0.209
h2oAutoml 1,0.011,0.011,0.011,0.011,2,0.011,0.011,0.011
h2oAutoml 10,0.011,0.011,0.011,0.011,1,0.011,0.011,0.011
treebag,-0.025,-0.568,0.011,0.339,93,0.065,0.112,0.169
extraTrees,-0.01,-0.505,0.011,0.423,95,0.088,0.127,0.193
kknn,0.004,-0.513,0.011,0.538,88,0.124,0.199,0.285
bartMachine,-0.029,-0.715,0.02,0.319,96,0.09,0.128,0.176
SL.kernelKnn,0.025,0.025,0.025,0.025,1,0.025,0.025,0.025
SL.ksvm,0.03,0.03,0.03,0.03,1,0.03,0.03,0.03
xyf,-0.03,-0.833,0.048,0.472,38,0.224,0.295,0.37
TPOT,0.163,0.008,0.148,0.464,8,0.148,0.204,0.309
SL.bayesglm,0.156,0.156,0.156,0.156,1,0.156,0.156,0.156
TPOT 4,0.205,0.205,0.205,0.205,1,0.205,0.205,0.205
SL.ridge,0.209,0.209,0.209,0.209,1,0.209,0.209,0.209
SL.step.forward,0.234,0.234,0.234,0.234,1,0.234,0.234,0.234
