0.639,6.956,0.275,-1.586,6.509,6.932,-1.31,0.709,-2.453,-2.761,0
-0.674,0.287,-0.527,-0.968,-1.986,-1.185,1.019,-0.042,-1.448,-1.296,0
-0.344,1.057,0.828,0.372,2.9,2.736,-1.322,-0.204,1.139,-0.108,0
0.204,-0.014,-0.369,-0.284,-0.908,-0.801,0.528,0.144,-0.703,-0.141,0
-0.093,1.579,0.6,0.089,2.842,2.743,-1.083,-0.034,0.495,-0.353,0
-0.304,-2.958,0.139,0.928,-2.04,-2.364,0.158,-0.371,1.57,1.384,0
0.692,-2.759,0.262,1.474,-0.591,-1.589,-0.36,-0.1,2.045,2.358,0
-1.617,6.252,1.979,-0.662,8.904,9.546,-3.279,-0.395,0.745,-2.973,0
-1.353,0.202,1.579,0.943,3.542,3.406,-2.131,-0.74,2.796,0.07,0
-0.947,-4.056,0.87,1.729,-1.291,-1.838,-0.707,-0.82,3.41,2.022,0
0.854,4.415,-1.258,-2.294,0.319,1.225,1.319,0.916,-4.42,-2.665,0
-0.883,-1.177,0.097,0.046,-1.408,-1.087,0.228,-0.374,0.475,-0.147,0
-0.054,3.056,1.287,0.367,5.994,5.641,-2.337,-0.06,1.264,-0.441,0
0.169,-3.636,-0.248,0.961,-3.236,-3.705,0.699,-0.203,1.219,1.831,0
1.455,0.299,-1.73,-1.209,-3.524,-3.283,2.291,0.848,-3.312,-0.375,0
-0.478,-3.701,0.022,0.953,-3.097,-3.343,0.471,-0.456,1.614,1.493,0
-2.466,-3.79,-0.078,-0.081,-5.335,-4.285,1.244,-1.004,0.826,-0.475,0
2.328,-1.557,-1.574,-0.042,-3.597,-4.27,1.958,0.901,-1.852,1.587,0
1.074,-1.768,-0.418,0.633,-1.517,-2.175,0.513,0.253,0.278,1.57,0
-0.502,-4.991,0.422,1.767,-2.878,-3.552,-0.036,-0.667,3.045,2.521,0
0.295,-0.49,-0.218,0.067,-0.726,-0.841,0.307,0.094,-0.138,0.336,0
0.897,-3.118,0.175,1.594,-0.917,-2.039,-0.249,-0.053,2.093,2.662,0
-1.658,-0.897,1.181,0.723,1.27,1.422,-1.295,-0.826,2.376,-0.024,0
-0.63,6.261,1.118,-1.093,7.298,7.874,-2.205,0.09,-0.757,-2.833,0
0.629,1.407,-0.918,-1.103,-1.092,-0.695,1.138,0.516,-2.382,-0.99,0
0.493,-0.169,-0.236,0.043,-0.354,-0.536,0.242,0.181,-0.262,0.344,0
-1.676,5.177,0.851,-1.538,4.724,5.972,-1.354,-0.236,-1.14,-3.528,0
-0.278,-0.845,-0.637,-0.538,-2.766,-2.304,1.184,0,-1.03,-0.425,0
-0.469,-0.349,0.259,0.156,0.069,0.146,-0.238,-0.224,0.559,-0.028,0
-0.443,-5.198,-2.016,-0.7,-10.187,-9.364,3.861,-0.091,-1.953,0.396,0
-1.503,3.436,0.647,-1.123,3.009,4.029,-0.91,-0.287,-0.707,-2.643,0
0.417,3.037,-0.521,-1.298,1.078,1.587,0.409,0.5,-2.371,-1.674,0
1.345,1.305,-0.545,-0.333,0.616,0.31,0.333,0.622,-1.328,0.107,0
-0.731,-0.692,-1.15,-1.343,-4.601,-3.505,2.128,0.006,-2.319,-1.425,0
0.608,3.467,0.422,-0.351,4.362,4.209,-1.197,0.368,-0.534,-0.829,0
0.186,1.826,-1.805,-2.379,-3.827,-2.524,2.649,0.636,-4.574,-2.47,0
0.393,-1.781,-1.206,-0.519,-4.501,-4.23,1.981,0.245,-1.58,0.178,0
1.541,-3.108,0.134,1.859,-0.421,-1.919,-0.381,0.141,2.205,3.242,0
-0.121,0.329,0.283,0.136,0.965,0.906,-0.448,-0.073,0.404,-0.023,0
1.481,-1.98,-1.999,-0.765,-5.964,-5.894,2.936,0.725,-2.812,0.589,0
-1.463,5.78,0.21,-2.298,3.469,5.082,-0.453,0.027,-2.698,-4.24,0
2.614,2.935,-0.097,0.237,4.332,3.179,-0.927,1.014,-0.75,0.902,0
-0.459,0.415,0.641,0.322,1.767,1.703,-0.925,-0.247,1.009,-0.059,0
-0.941,5.72,1.14,-1.051,6.671,7.351,-2.092,-0.05,-0.558,-2.831,0
-1.302,3.146,1.354,-0.192,5.078,5.477,-2.073,-0.422,0.973,-1.632,0
0.243,-4.976,-2.021,-0.444,-9.391,-8.962,3.639,0.124,-1.852,0.939,0
1.384,-2.477,0.452,1.919,0.833,-0.681,-0.903,0.075,2.53,3.059,0
-0.898,0.106,1.099,0.689,2.482,2.354,-1.494,-0.506,1.976,0.109,0
-0.391,4.564,0.424,-1.175,4.225,4.854,-1.002,0.177,-1.352,-2.367,0
-0.688,-1.762,-1.561,-1.418,-6.557,-5.379,2.874,0.024,-2.669,-1.21,0
-1.667,-0.543,0.776,0.181,0.322,0.791,-0.679,-0.703,1.358,-0.599,0
0.096,-1.671,-1.847,-1.369,-6.596,-5.712,3.084,0.322,-3.067,-0.768,0
2.699,0.369,-1.638,-0.535,-2.025,-2.612,1.76,1.185,-2.765,0.878,0
0.232,-0.325,-0.926,-0.759,-2.758,-2.356,1.44,0.257,-1.718,-0.475,0
-0.408,-1.244,-0.307,-0.13,-2.206,-1.932,0.737,-0.149,-0.195,-0.033,0
0.089,1.657,0.411,-0.046,2.512,2.431,-0.844,0.069,0.12,-0.395,0
-1.7,-0.601,0.472,-0.135,-0.651,0.025,-0.178,-0.645,0.738,-0.886,0
1.126,2.48,-0.593,-0.858,1.126,1.157,0.363,0.671,-2.043,-0.765,0
-1.964,2.738,1.017,-0.738,3.155,4.127,-1.292,-0.565,0.248,-2.376,0
-0.113,-4.421,0.174,1.516,-2.827,-3.504,0.186,-0.45,2.382,2.367,0
2.421,-0.122,-1.335,-0.197,-1.751,-2.429,1.408,0.992,-1.988,1.15,0
0.296,-1.988,-1.064,-0.351,-4.323,-4.111,1.803,0.166,-1.215,0.326,0
