lars,1,0.343,first,0,0.3355,1,20,0.705,0.979,1
lars2,,0.192,,0,0.0995378151,1,16,0.312,0.812,0.91
lars2,1,0.338,first,0,0.3335926641,1,20,0.704,0.977,1
lasso,,1,first,1,1,1,1,1,1,1
leapBackward,,0.23,,0,0.1530807249,1,16,0.672,0.835,0.975
leapBackward,1,0.338,first,0,0.354,1,20,0.743,0.964,1
leapForward,,0.233,,0,0.2171408753,1,16,0.672,0.843,0.975
leapForward,1,0.337,first,0,0.344,1,20,0.743,0.959,1
leapSeq,,0.232,,0,0.2096220783,1,16,0.672,0.835,0.975
leapSeq,1,0.347,first,0,0.4201666667,1,20,0.743,0.963,1
lm,,1,first,1,1,1,3,1,1,1
lmStepAIC,,1,first,1,1,1,3,1,1,1
msaenet,,0.798,,0.795,0.8025505051,0.8101010101,2,0.806,0.807,0.809
msaenet,1,0.412,first,0,0.6498771499,1,14,0.765,0.976,0.995
neuralnet,2,0.454,,0,0.8010362694,0.9938016529,11,0.895,0.911,0.988
neuralnet,,0.331,first,0,0.0995670996,0.986,15,0.711,0.962,0.984
nnet,1,0.444,,0,0.79251439,0.992,16,0.902,0.912,0.968
nnet,,0.25,first,0,0.341,1,18,0.433,0.479,0.815
parRF,2,0.387,,0,0.3941195551,0.9979338843,16,0.842,0.913,0.944
parRF,,0.367,first,0,0.3952417582,0.918,18,0.77,0.799,0.902
partDSA,1,0.154,first,0,0.1146666667,0.7533539732,15,0.178,0.259,0.473
pcaNNet,2,0.472,,0,0.79413029,0.9917355372,16,0.904,0.957,0.972
pcaNNet,,0.262,first,0,0.3466447106,1,18,0.426,0.562,0.83
pcr,,0.239,,0,0.2871804511,1,16,0.688,0.837,0.974
pcr,1,0.295,first,0,0.1973331504,1,18,0.591,0.779,1
ppr,2,0.414,,0,0.7402421495,1,16,0.896,0.974,0.995
ppr,,0.379,first,0,0.2887345309,1,18,0.802,0.979,0.995
qrf,2,0.251,,0,0,0.9958677686,16,0.697,0.771,0.829
qrf,,0.202,first,0,0,1,18,0.212,0.493,0.771
ranger,2,0.386,,0,0.4025027529,0.9979338843,16,0.833,0.912,0.944
ranger,,0.363,first,0,0.3806666667,0.92,18,0.773,0.801,0.895
Rborist,2,0.42,,0,0.5403624382,0.9979338843,15,0.873,0.952,0.971
Rborist,,0.379,first,0,0.4128406593,0.9777553084,18,0.758,0.789,0.923
relaxo,,0.09,,0,0,0.9917355372,15,0,0.151,0.818
relaxo,1,0.211,first,0,0.148951655,1,18,0.38,0.563,0.742
rf,2,0.409,,0,0.4238341969,0.9979338843,15,0.874,0.914,0.949
rf,,0.361,first,0,0.363478022,0.9256965944,18,0.768,0.788,0.919
rpart,2,0.332,,0,0.4596375618,0.9938016529,15,0.807,0.84,0.859
rpart,,0.199,first,0,0.0709701476,0.92,18,0.265,0.386,0.588
rpart1SE,,0.42,first,0.37,0.4205,0.471,2,0.441,0.451,0.461
rpart2,2,0.304,,0,0.4596375618,0.9958677686,15,0.677,0.753,0.799
rpart2,,0.15,first,0,0.024,0.6646026832,17,0.283,0.432,0.505
RRF,,0.454,,0.085,0.5906515581,0.9979338843,7,0.778,0.903,0.966
RRF,1,0.413,first,0,0.568,0.959752322,15,0.785,0.832,0.934
RRFglobal,2,0.431,,0,0.6373056995,1,15,0.873,0.926,0.961
RRFglobal,,0.392,first,0,0.6013013972,0.959752322,18,0.759,0.78,0.929
simpls,,0.24,,0,0.1103789127,1,15,0.756,0.861,0.978
simpls,1,0.294,first,0,0.1830731707,1,18,0.627,0.763,1
svmLinear2,,0.196,,0,0.0678361345,1,14,0.569,0.711,0.848
svmLinear2,1,0.33,first,0,0.4638333333,1,18,0.817,0.952,1
svmLinear3,,0.138,,0,0,0.9917355372,15,0.242,0.538,0.815
svmLinear3,1,0.227,first,0,0.2058333333,0.9934065934,18,0.537,0.664,0.806
treebag,,0.688,first,0.688,0.688,0.688,1,0.688,0.688,0.688
widekernelpls,,0.24,,0,0.1103789127,1,15,0.757,0.861,0.978
widekernelpls,1,0.292,first,0,0.1806666667,1,18,0.591,0.763,1
xgbLinear,2,0.417,,0,0.5827067669,0.9979338843,15,0.867,0.966,0.977
xgbLinear,,0.405,first,0,0.6269670659,1,18,0.759,0.858,0.967
xgbTree,2,0.297,,0,0.4530477759,0.9938016529,15,0.575,0.648,0.865
xgbTree,,0.287,first,0,0.3234375942,0.837,18,0.6,0.633,0.695
