expirament,task,transTarg,transform,algomodel,hpGen,time,validmethod,tuneLength,cvcount,unmissed,keyMiss,foldCount,keeprunning,l1comb,sqrdcomb,mincomb
QSlink3,QSlinks14_55Int,2,asis,regr.randomForest,random,20.58,cv,5,5,78,QSlinks14_55Intasis2QSlink3,34,TRUE,0.1268,0.00574,0.015362589949884098
QSlink3,QSlinks115_60,2,YeoJohnson,regr.randomForest,random,22.82,cv,5,5,78,QSlinks115_60YeoJohnson2QSlink3,34,TRUE,0.1277,0.00443,0.023333690424004183
QSlink3,QSlinks03_95,2,expoTrans,regr.randomForest,random,65.65,cv,5,5,78,QSlinks03_95expoTrans2QSlink3,29,TRUE,0.13044,0.00686,0.0017555055842180534
QSlink3,QSlinks115_60,2,asis,rf,random,17.83,3,6.1,NA,71,QSlinks115_60asis2QSlink3,12,TRUE,0.14646,0.00693,0.006814973890173492
QSlink3,QSlinks115_60Int,2,asis,extraTrees,random,70.36,3,6.1,NA,45,QSlinks115_60Intasis2QSlink3,7,TRUE,0.15013,0.00638,0.013959585396912888
QSlink3,QSlinks115_60,2,expoTrans,regr.randomForest,random,21.14,cv,5,5,78,QSlinks115_60expoTrans2QSlink3,28,TRUE,0.15053,0.0065,0.020015637117866414
QSlink3,QSlinks14_55Int,1,centernscale,regr.randomForest,random,21.71,cv,5,5,78,QSlinks14_55Intcenternscale1QSlink3,29,TRUE,0.15212,0.00733,0.023879138019023416
QSlink3,QSlinks115_60,2,quantile,regr.randomForest,random,22.93,cv,5,5,78,QSlinks115_60quantile2QSlink3,34,TRUE,0.15228,0.00634,0.02907050355748647
QSlink3,QSlinks14_55Int,1,centernscale,parRF,random,17.33,3,6.2,NA,71,QSlinks14_55Intcenternscale1QSlink3,15,TRUE,0.15354,0.00705,0.015312598282299361
QSlink3,QSlinks14_55Int,2,centernscale,parRF,random,14.64,3,6.2,NA,71,QSlinks14_55Intcenternscale2QSlink3,11,TRUE,0.15615,0.00623,0.02522472630696182
QSlink3,QSlinks115_60,2,asis,RRFglobal,random,21.5,3,6.1,NA,45,QSlinks115_60asis2QSlink3,10,TRUE,0.15749,0.00753,0.010361323040231685
QSlink3,QSlinks14_55Int,1,range01,regr.randomForest,random,20.49,cv,5,5,78,QSlinks14_55Intrange011QSlink3,31,TRUE,0.15822,0.00842,0.022428859031328463
QSlink3,QSlinks03_95,2,YeoJohnson,regr.randomForest,random,59.18,cv,5,5,78,QSlinks03_95YeoJohnson2QSlink3,24,TRUE,0.15913,0.00956,0.010691754779482088
QSlink3,QSlinks115_60Int,2,asis,rf,random,22.32,3,6.1,NA,71,QSlinks115_60Intasis2QSlink3,11,TRUE,0.16001,0.00833,0.017721039492242963
QSlink3,QSlinks14_55Int,2,all,parRF,random,85.18,3,6.2,NA,71,QSlinks14_55Intall2QSlink3,11,TRUE,0.16132,0.00829,0.02331728433838348
QSlink3,QSlinks03_95,2,expoTrans,rf,random,56.67,3,6.1,NA,71,QSlinks03_95expoTrans2QSlink3,9,TRUE,0.16416,0.00818,0.010607117876008598
QSlink3,QSlinks14_55,2,expoTrans,regr.randomForest,random,17.31,cv,5,5,78,QSlinks14_55expoTrans2QSlink3,25,TRUE,0.16423,0.007,0.030891523383650532
QSlink3,QSlinks115_60,1,range01,RRFglobal,random,22.27,3,6.1,NA,45,QSlinks115_60range011QSlink3,15,TRUE,0.16605,0.0073,0.03191349675394767
QSlink3,QSlinks14_55Int,2,range01,regr.randomForest,random,20.97,cv,5,5,78,QSlinks14_55Intrange012QSlink3,29,TRUE,0.16812,0.01095,0.013244891063184439
QSlink3,QSlinks14_55Int,2,centernscale,regr.randomForest,random,21.67,cv,5,5,78,QSlinks14_55Intcenternscale2QSlink3,29,TRUE,0.17187,0.01014,0.017102231126742362
QSlink3,QSlinks04_90Int,2,quantile,parRF,random,71.17,3,4.4,NA,71,QSlinks04_90Intquantile2QSlink3,6,TRUE,0.17731,0.01373,0.007207134575523355
QSlink3,QSlinks14_55Int,2,quantile,kknn,random,8.31,3,6.2,NA,71,QSlinks14_55Intquantile2QSlink3,13,TRUE,0.17962,0.00982,0.03599301056416382
QSlink3,QSlinks14_55Int,2,expoTrans,regr.randomForest,random,20.97,cv,5,5,78,QSlinks14_55IntexpoTrans2QSlink3,28,TRUE,0.17979,0.0111,0.019858058845763527
QSlink3,QSlinks115_60,1,range01,rf,random,21.61,3,6.1,NA,71,QSlinks115_60range011QSlink3,19,TRUE,0.18548,0.01004,0.0339449224286944
QSlink3,QSlinks115_60,2,centernscale,regr.ranger,random,12.79,cv,5,5,78,QSlinks115_60centernscale2QSlink3,14,TRUE,0.18855,0.00909,0.03167916283255101
QSlink3,QSlinks03_95,2,quantile,regr.randomForest,random,71.85,cv,5,5,78,QSlinks03_95quantile2QSlink3,24,TRUE,0.18876,0.01284,0.015718271076081924
QSlink3,QSlinks14_55Int,2,centernscale,Rborist,random,159.82,3,6.2,NA,60,QSlinks14_55Intcenternscale2QSlink3,11,TRUE,0.18884,0.00997,0.01991886496626194
QSlink3,QSlinks14_55Int,2,quantile,regr.randomForest,random,21.08,cv,5,5,78,QSlinks14_55Intquantile2QSlink3,29,TRUE,0.18988,0.01271,0.018721585268988483
QSlink3,QSlinks115_60,1,centernscale,rf,random,21,3,6.1,NA,71,QSlinks115_60centernscale1QSlink3,14,TRUE,0.19342,0.01064,0.03516022423173676
QSlink3,QSlinks14_55Int,2,YeoJohnson,regr.randomForest,random,22.14,cv,5,5,78,QSlinks14_55IntYeoJohnson2QSlink3,29,TRUE,0.19436,0.013,0.02027807556985084
QSlink3,QSlinks115_60Int,2,asis,RRF,random,65.17,3,6.1,NA,45,QSlinks115_60Intasis2QSlink3,6,TRUE,0.1985,0.01088,0.02317063654279483
QSlink3,QSlinks03_95,1,centernscale,regr.randomForest,random,77.2,cv,5,5,78,QSlinks03_95centernscale1QSlink3,24,TRUE,0.19899,0.01163,0.027403737554415553
QSlink3,QSlinks115_60,2,centernscale,parRF,random,23.14,3,6.1,NA,71,QSlinks115_60centernscale2QSlink3,14,TRUE,0.20085,0.01022,0.025756515580820982
QSlink3,QSlinks115_60,2,quantile,regr.ranger,random,16.64,cv,5,5,78,QSlinks115_60quantile2QSlink3,14,TRUE,0.20231,0.01051,0.02845246705619653
QSlink3,QSlinks03_95,2,centernscale,regr.randomForest,random,74.21,cv,5,5,78,QSlinks03_95centernscale2QSlink3,24,TRUE,0.20446,0.01222,0.029108319826375906
QSlink3,QSlinks03_95,2,all,regr.randomForest,random,367.15,cv,5,5,78,QSlinks03_95all2QSlink3,25,TRUE,0.20661,0.01469,0.018815392803155806
QSlink3,QSlinks14_55Int,2,quantile,parRF,random,16,3,6.2,NA,71,QSlinks14_55Intquantile2QSlink3,13,TRUE,0.20806,0.01446,0.01940833292492461
QSlink3,QSlinks115_60,2,asis,parRF,random,25.08,3,6.1,NA,71,QSlinks115_60asis2QSlink3,12,TRUE,0.2114,0.01409,0.017546910559358087
QSlink3,QSlinks115_60,2,YeoJohnson,regr.ranger,random,17.29,cv,5,5,78,QSlinks115_60YeoJohnson2QSlink3,14,TRUE,0.2116,0.01229,0.04515941496592307
QSlink3,QSlinks115_60,1,range01,Rborist,random,299.47,3,6.1,NA,60,QSlinks115_60range011QSlink3,19,TRUE,0.21354,0.01183,0.040169136049015786
QSlink3,QSlinks14_55Int,1,centernscale,extraTrees,random,92.2,3,6.2,NA,45,QSlinks14_55Intcenternscale1QSlink3,10,TRUE,0.21383,0.01322,0.03135053902125334
QSlink3,QSlinks115_60,1,range01,parRF,random,559.47,3,6.1,NA,71,QSlinks115_60range011QSlink3,19,TRUE,0.2162,0.01355,0.03568336351722451
QSlink3,QSlinks14_55,2,asis,ranger,random,14.75,3,6.1,NA,45,QSlinks14_55asis2QSlink3,8,TRUE,0.21683,0.01349,0.043616027570839044
QSlink3,QSlinks115_60,1,centernscale,RRFglobal,random,22.1,3,6.1,NA,45,QSlinks115_60centernscale1QSlink3,10,TRUE,0.21803,0.01343,0.04096122659763546
QSlink3,QSlinks03_95,2,expoTrans,parRF,random,59,3,6.1,NA,71,QSlinks03_95expoTrans2QSlink3,9,TRUE,0.22114,0.01487,0.01930676408758758
QSlink3,QSlinks115_60Int,2,asis,ranger,random,16,3,6.1,NA,45,QSlinks115_60Intasis2QSlink3,6,TRUE,0.22119,0.01783,0.0025311413729206533
QSlink3,QSlinks115_60,1,range01,RRF,random,55.8,3,6.1,NA,45,QSlinks115_60range011QSlink3,15,TRUE,0.22131,0.01301,0.038203121054325495
QSlink3,QSlinks115_60Int,2,expoTrans,regr.randomForest,random,22.02,cv,5,5,78,QSlinks115_60IntexpoTrans2QSlink3,18,TRUE,0.22187,0.01403,0.0418143628769434
QSlink3,QSlinks14_55,1,range01,regr.randomForest,random,14.52,cv,5,5,78,QSlinks14_55range011QSlink3,29,TRUE,0.22219,0.01502,0.030067081573491417
QSlink3,QSlinks03_95,2,PCA,regr.randomForest,random,107.84,cv,5,5,78,QSlinks03_95PCA2QSlink3,24,TRUE,0.22369,0.01632,0.02445039464269433
QSlink3,QSlinks14_55Int,2,centernscale,extraTrees,random,110.5,3,6.2,NA,45,QSlinks14_55Intcenternscale2QSlink3,6,TRUE,0.22372,0.01362,0.0376887693021965
QSlink3,QSlinks14_55,2,all,ranger,random,30.83,3,6.1,NA,45,QSlinks14_55all2QSlink3,6,TRUE,0.22679,0.01323,0.031051996070303844
QSlink3,QSlinks14_55Int,2,quantile,rf,random,18.42,3,6.2,NA,71,QSlinks14_55Intquantile2QSlink3,12,TRUE,0.22729,0.01631,0.023723249281036085
QSlink3,QSlinks14_55Int,1,range01,kknn,random,7.12,3,6.2,NA,71,QSlinks14_55Intrange011QSlink3,8,TRUE,0.22849,0.01376,0.03926220435145028
QSlink3,QSlinks115_60,1,centernscale,parRF,random,21.64,3,6.1,NA,71,QSlinks115_60centernscale1QSlink3,14,TRUE,0.22903,0.01496,0.04204522600798383
QSlink3,QSlinks115_60,2,expoTrans,regr.ranger,random,10.4,cv,5,5,78,QSlinks115_60expoTrans2QSlink3,10,TRUE,0.234,0.01468,0.03623597663253614
QSlink3,QSlinks03_95,2,asis,regr.randomForest,random,67.13,cv,5,5,78,QSlinks03_95asis2QSlink3,24,TRUE,0.23402,0.01723,0.02758454478354322
QSlink3,QSlinks14_55Int,2,all,cforest,random,58.33,3,6.2,NA,71,QSlinks14_55Intall2QSlink3,12,TRUE,0.23488,0.01929,0.03655463392397923
QSlink3,QSlinks14_55Int,2,YeoJohnson,parRF,random,16.1,3,6.2,NA,71,QSlinks14_55IntYeoJohnson2QSlink3,10,TRUE,0.23588,0.01451,0.043134621715307186
QSlink3,QSlinks14_55,2,range01,regr.randomForest,random,14.08,cv,5,5,78,QSlinks14_55range012QSlink3,24,TRUE,0.23678,0.01665,0.032244314614435776
QSlink3,QSlinks115_60,2,centernscale,rf,random,22.71,3,6.1,NA,71,QSlinks115_60centernscale2QSlink3,14,TRUE,0.23681,0.01638,0.05309512856430848
QSlink3,QSlinks115_60,1,centernscale,RRF,random,57.7,3,6.1,NA,45,QSlinks115_60centernscale1QSlink3,10,TRUE,0.23947,0.01458,0.03451057632926591
QSlink3,QSlinks115_60Int,1,range01,regr.ranger,random,17.2,3,6.2,NA,78,QSlinks115_60Intrange011QSlink3,10,TRUE,0.23949,0.01462,0.039114287916706736
QSlink3,QSlinks14_55Int,2,all,RRFglobal,random,70,3,6.2,NA,45,QSlinks14_55Intall2QSlink3,5,TRUE,0.23962,0.0148,0.03179592361335909
QSlink3,QSlinks115_60,2,ICA,regr.randomForest,random,27.57,cv,5,5,78,QSlinks115_60ICA2QSlink3,34,TRUE,0.24128,0.01626,0.04554291469857641
QSlink3,QSlinks14_55,2,expoTrans,regr.ranger,random,14.56,cv,5,5,78,QSlinks14_55expoTrans2QSlink3,13,TRUE,0.24302,0.01618,0.04479839637616784
QSlink3,QSlinks115_60,2,expoTrans,extraTrees,random,70.55,3,6.1,NA,45,QSlinks115_60expoTrans2QSlink3,11,TRUE,0.24313,0.02137,0.027170572854706476
QSlink3,QSlinks14_55,2,all,gaussprPoly,random,5.5,3,6.1,NA,61,QSlinks14_55all2QSlink3,10,TRUE,0.2435,0.03425,0.001215337663205307
QSlink3,QSlinks14_55,2,all,cforest,random,450.36,3,6.1,NA,71,QSlinks14_55all2QSlink3,11,TRUE,0.2446,0.02061,0.009789041269621879
QSlink3,QSlinks14_55,2,range01,ranger,random,25.33,3,6.1,NA,45,QSlinks14_55range012QSlink3,6,TRUE,0.2456,0.01551,0.03931969587879691
QSlink3,QSlinks14_55Int,2,centernscale,cforest,random,22.92,3,6.2,NA,71,QSlinks14_55Intcenternscale2QSlink3,12,TRUE,0.24775,0.02119,0.04867110973335398
QSlink3,QSlinks14_55Int,1,range01,rf,random,18.12,3,6.2,NA,71,QSlinks14_55Intrange011QSlink3,8,TRUE,0.24811,0.01874,0.028986575918478752
QSlink3,QSlinks14_55Int,2,YeoJohnson,rf,random,19.7,3,6.2,NA,71,QSlinks14_55IntYeoJohnson2QSlink3,10,TRUE,0.2487,0.0162,0.043361073294586494
QSlink3,QSlinks115_60,2,expoTrans,rf,random,20.47,3,6.1,NA,71,QSlinks115_60expoTrans2QSlink3,15,TRUE,0.24989,0.01676,0.03898206112178948
QSlink3,QSlinks115_60Int,2,YeoJohnson,regr.ranger,random,14,3,6.2,NA,78,QSlinks115_60IntYeoJohnson2QSlink3,10,TRUE,0.25138,0.0172,0.04606449489185266
QSlink3,QSlinks14_55Int,1,centernscale,RRF,random,45.7,3,6.2,NA,45,QSlinks14_55Intcenternscale1QSlink3,10,TRUE,0.25178,0.01686,0.04202716379776944
QSlink3,QSlinks14_55,2,YeoJohnson,regr.randomForest,random,17.04,cv,5,5,78,QSlinks14_55YeoJohnson2QSlink3,24,TRUE,0.25205,0.01651,0.046132884547199604
QSlink3,QSlinks14_55,1,centernscale,regr.randomForest,random,13.93,cv,5,5,78,QSlinks14_55centernscale1QSlink3,24,TRUE,0.25227,0.01905,0.033960151787344794
QSlink3,QSlinks115_60,2,asis,Rborist,random,228.58,3,6.1,NA,60,QSlinks115_60asis2QSlink3,12,TRUE,0.2533,0.0206,0.03564035969653573
QSlink3,QSlinks115_60Int,2,quantile,regr.ranger,random,13.9,3,6.2,NA,78,QSlinks115_60Intquantile2QSlink3,10,TRUE,0.25417,0.01731,0.05366999539322187
QSlink3,QSlinks115_60,2,all,regr.randomForest,random,120.86,cv,5,5,78,QSlinks115_60all2QSlink3,34,TRUE,0.25641,0.01811,0.04816889213018338
QSlink3,QSlinks14_55Int,2,ICA,regr.randomForest,random,29.36,cv,5,5,78,QSlinks14_55IntICA2QSlink3,29,TRUE,0.25784,0.02183,0.033672989969875056
QSlink3,QSlinks04_90Int,2,quantile,rf,random,61.17,3,4.4,NA,71,QSlinks04_90Intquantile2QSlink3,6,TRUE,0.2581,0.02539,0.017974337119450345
QSlink3,QSlinks115_60,2,asis,ranger,random,9.3,3,6.1,NA,45,QSlinks115_60asis2QSlink3,10,TRUE,0.25861,0.01743,0.04490381772807761
QSlink3,QSlinks115_60,1,centernscale,ranger,random,11.1,3,6.1,NA,45,QSlinks115_60centernscale1QSlink3,10,TRUE,0.25862,0.01886,0.0503785193915024
QSlink3,QSlinks03_95,2,ICA,regr.randomForest,random,89.85,cv,5,5,78,QSlinks03_95ICA2QSlink3,24,TRUE,0.25893,0.02046,0.02724180652241004
QSlink3,QSlinks14_55Int,1,range01,parRF,random,15,3,6.2,NA,71,QSlinks14_55Intrange011QSlink3,8,TRUE,0.25929,0.02265,0.035668960729164034
QSlink3,QSlinks115_60,1,range01,ranger,random,11.27,3,6.1,NA,45,QSlinks115_60range011QSlink3,15,TRUE,0.2595,0.01846,0.04694488171864858
QSlink3,QSlinks115_60Int,2,ICA,rf,random,30,3,6.1,NA,71,QSlinks115_60IntICA2QSlink3,10,TRUE,0.26045,0.0186,0.03757782741525861
QSlink3,QSlinks115_60Int,2,quantile,regr.randomForest,random,22.6,3,6.2,NA,78,QSlinks115_60Intquantile2QSlink3,10,TRUE,0.26129,0.01761,0.039114287916706736
QSlink3,QSlinks115_60,2,expoTrans,parRF,random,22.4,3,6.1,NA,71,QSlinks115_60expoTrans2QSlink3,15,TRUE,0.26155,0.01864,0.044808506357500055
QSlink3,QSlinks115_60,2,asis,extraTrees,random,99.09,3,6.1,NA,45,QSlinks115_60asis2QSlink3,11,TRUE,0.26197,0.02432,0.021568317814301685
QSlink3,QSlinks14_55,2,centernscale,regr.randomForest,random,14.85,cv,5,5,78,QSlinks14_55centernscale2QSlink3,24,TRUE,0.2629,0.02131,0.034282219440626704
QSlink3,QSlinks03_95,1,range01,regr.randomForest,random,67.35,cv,5,5,78,QSlinks03_95range011QSlink3,25,TRUE,0.26367,0.02154,0.03236788611620717
QSlink3,QSlinks03_95,2,all,cforest,random,92,3,4.4,NA,71,QSlinks03_95all2QSlink3,8,TRUE,0.26487,0.02033,0.018982825214161503
QSlink3,QSlinks115_60,2,centernscale,Rborist,random,199.71,3,6.1,NA,60,QSlinks115_60centernscale2QSlink3,14,TRUE,0.26546,0.01851,0.05147577752200483
QSlink3,QSlinks14_55,2,asis,regr.randomForest,random,13.65,cv,5,5,78,QSlinks14_55asis2QSlink3,24,TRUE,0.26556,0.02079,0.0376078128330109
QSlink3,QSlinks115_60Int,2,asis,regr.ranger,random,16.1,3,6.2,NA,78,QSlinks115_60Intasis2QSlink3,10,TRUE,0.26626,0.02132,0.05086986321732595
QSlink3,QSlinks115_60,1,centernscale,Rborist,random,214.07,3,6.1,NA,60,QSlinks115_60centernscale1QSlink3,14,TRUE,0.26914,0.02246,0.0553340946809493
QSlink3,QSlinks14_55,2,asis,rf,random,31.5,3,6.1,NA,71,QSlinks14_55asis2QSlink3,8,TRUE,0.27017,0.0202,0.05521704018344753
QSlink3,QSlinks115_60,2,range01,RRF,random,55.9,3,6.1,NA,45,QSlinks115_60range012QSlink3,10,TRUE,0.27042,0.01944,0.02449159542990431
QSlink3,QSlinks14_55Int,2,range01,kknn,random,8.09,3,6.2,NA,71,QSlinks14_55Intrange012QSlink3,11,TRUE,0.27065,0.01874,0.04725246636613156
QSlink3,QSlinks115_60Int,2,ICA,parRF,random,32.4,3,6.1,NA,71,QSlinks115_60IntICA2QSlink3,10,TRUE,0.27077,0.02033,0.03393999205088161
QSlink3,QSlinks14_55Int,2,asis,regr.ranger,random,14.21,cv,5,5,78,QSlinks14_55Intasis2QSlink3,14,TRUE,0.27177,0.02199,0.04542918443644928
QSlink3,QSlinks14_55Int,2,all,bartMachine,random,189.33,3,6.2,NA,38,QSlinks14_55Intall2QSlink3,9,TRUE,0.27274,0.02249,0.04921689825867076
QSlink3,QSlinks115_60Int,2,centernscale,rf,random,17.6,3,6.1,NA,71,QSlinks115_60Intcenternscale2QSlink3,10,TRUE,0.2731,0.02295,0.0312348471531258
QSlink3,QSlinks14_55,2,quantile,regr.randomForest,random,16.86,cv,5,5,78,QSlinks14_55quantile2QSlink3,24,TRUE,0.27324,0.01973,0.04973980841665787
QSlink3,QSlinks14_55Int,2,all,regr.randomForest,random,108.48,cv,5,5,78,QSlinks14_55Intall2QSlink3,29,TRUE,0.27422,0.02435,0.033900981682092324
QSlink3,QSlinks115_60Int,2,asis,RRFglobal,random,28.33,3,6.1,NA,45,QSlinks115_60Intasis2QSlink3,6,TRUE,0.27491,0.02326,0.024453524107789948
QSlink3,QSlinks14_55,2,range01,extraTrees,random,251.5,3,6.1,NA,45,QSlinks14_55range012QSlink3,6,TRUE,0.27651,0.02105,0.03903323182909407
QSlink3,QSlinks115_60,2,asis,RRF,random,48.5,3,6.1,NA,45,QSlinks115_60asis2QSlink3,10,TRUE,0.27657,0.02349,0.03173269536210788
QSlink3,QSlinks115_60Int,2,asis,Rborist,random,254.33,3,6.1,NA,60,QSlinks115_60Intasis2QSlink3,6,TRUE,0.27735,0.02257,0.025770021868033288
QSlink3,QSlinks115_60,2,range01,rf,random,19.93,3,6.1,NA,71,QSlinks115_60range012QSlink3,14,TRUE,0.27907,0.0206,0.04843793437287225
QSlink3,QSlinks14_55Int,2,centernscale,RRF,random,41.83,3,6.2,NA,45,QSlinks14_55Intcenternscale2QSlink3,6,TRUE,0.2821,0.02019,0.04569674328447104
QSlink3,QSlinks03_95,2,PCA,regr.rknn,random,1.33,cv,5,5,43,QSlinks03_95PCA2QSlink3,24,TRUE,0.2821,0.02985,0
QSlink3,QSlinks115_60Int,2,range01,regr.ranger,random,13.8,3,6.2,NA,78,QSlinks115_60Intrange012QSlink3,10,TRUE,0.28447,0.02073,0.04614339442891563
QSlink3,QSlinks14_55,2,all,extraTrees,random,477.2,3,6.1,NA,45,QSlinks14_55all2QSlink3,10,TRUE,0.28519,0.02253,0.04140868963966948
QSlink3,QSlinks14_55Int,2,centernscale,kknn,random,7.91,3,6.2,NA,71,QSlinks14_55Intcenternscale2QSlink3,11,TRUE,0.28575,0.02301,0.04407764865051961
QSlink3,QSlinks115_60Int,1,centernscale,regr.ranger,random,15,3,6.2,NA,78,QSlinks115_60Intcenternscale1QSlink3,10,TRUE,0.28633,0.02094,0.04627653352249833
QSlink3,QSlinks14_55,2,asis,regr.ranger,random,14.11,cv,5,5,78,QSlinks14_55asis2QSlink3,9,TRUE,0.28687,0.02147,0.04950056027306038
QSlink3,QSlinks115_60,2,range01,parRF,random,21.33,3,6.1,NA,71,QSlinks115_60range012QSlink3,15,TRUE,0.28687,0.02149,0.05295634616259626
QSlink3,QSlinks14_55Int,2,expoTrans,parRF,random,20.58,3,6.1,NA,71,QSlinks14_55IntexpoTrans2QSlink3,12,TRUE,0.287,0.02378,0.04689257799022156
QSlink3,QSlinks03_95,2,PCA,regr.ranger,random,53.09,cv,5,5,78,QSlinks03_95PCA2QSlink3,9,TRUE,0.28763,0.02256,0.051528916747735076
QSlink3,QSlinks115_60,2,asis,cforest,random,25.15,3,6.1,NA,71,QSlinks115_60asis2QSlink3,13,TRUE,0.28804,0.02269,0.042892458918093124
QSlink3,QSlinks14_55Int,1,centernscale,RRFglobal,random,19.9,3,6.2,NA,45,QSlinks14_55Intcenternscale1QSlink3,10,TRUE,0.29162,0.0232,0.04255301023412744
QSlink3,QSlinks14_55,2,ICA,regr.randomForest,random,28.93,cv,5,5,78,QSlinks14_55ICA2QSlink3,24,TRUE,0.29225,0.02244,0.055584255318438414
QSlink3,QSlinks115_60Int,1,centernscale,regr.randomForest,random,26,3,6.2,NA,78,QSlinks115_60Intcenternscale1QSlink3,10,TRUE,0.2934,0.02201,0.04614339442891563
QSlink3,QSlinks115_60,2,centernscale,ranger,random,15.4,3,6.1,NA,45,QSlinks115_60centernscale2QSlink3,10,TRUE,0.29344,0.02256,0.05745512819085574
QSlink3,QSlinks115_60,2,all,regr.ranger,random,67.93,cv,5,5,78,QSlinks115_60all2QSlink3,14,TRUE,0.2935,0.0245,0.05050842955378371
QSlink3,QSlinks03_95,2,expoTrans,gbm,random,87,3,6.1,NA,71,QSlinks03_95expoTrans2QSlink3,9,TRUE,0.29364,0.02779,0.015281918553534002
QSlink3,QSlinks115_60,2,range01,Rborist,random,196.86,3,6.1,NA,60,QSlinks115_60range012QSlink3,14,TRUE,0.29434,0.02211,0.03954291623421208
QSlink3,QSlinks115_60,2,centernscale,RRF,random,53.5,3,6.1,NA,45,QSlinks115_60centernscale2QSlink3,10,TRUE,0.29656,0.02277,0.05306974113581009
QSlink3,QSlinks14_55,2,range01,regr.ranger,random,15.11,cv,5,5,78,QSlinks14_55range012QSlink3,9,TRUE,0.29744,0.02443,0.053706068412636365
QSlink3,QSlinks14_55Int,2,range01,RRF,random,44,3,6.2,NA,45,QSlinks14_55Intrange012QSlink3,5,TRUE,0.29916,0.02433,0.04820328856313477
QSlink3,QSlinks115_60Int,2,range01,parRF,random,19.2,3,6.1,NA,71,QSlinks115_60Intrange012QSlink3,10,TRUE,0.29992,0.02266,0.042666762633817634
QSlink3,QSlinks14_55,2,centernscale,regr.ranger,random,14.78,cv,5,5,78,QSlinks14_55centernscale2QSlink3,9,TRUE,0.30076,0.02532,0.05121229002205541
QSlink3,QSlinks115_60,2,expoTrans,RRF,random,54.18,3,6.1,NA,45,QSlinks115_60expoTrans2QSlink3,11,TRUE,0.30092,0.02471,0.042329284685663104
QSlink3,QSlinks115_60,1,range01,regr.h2o.randomForest,random,7.57,nohyperparameters,1,5,34,QSlinks115_60range011QSlink3,7,TRUE,0.30174,0.02508,0.048901990342424484
QSlink3,QSlinks03_95,2,expoTrans,regr.gbm,random,11.75,cv,5,5,78,QSlinks03_95expoTrans2QSlink3,29,TRUE,0.30346,0.02623,0.03041145086559005
QSlink3,QSlinks115_60,2,expoTrans,Rborist,random,212.2,3,6.1,NA,60,QSlinks115_60expoTrans2QSlink3,15,TRUE,0.30412,0.02674,0.05326904405215399
QSlink3,QSlinks14_55Int,2,all,bagEarth,random,426.78,3,6.2,NA,40,QSlinks14_55Intall2QSlink3,9,TRUE,0.30443,0.02675,0.05432563204944424
