pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11 
0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,CLOUD,10hp10cv,1,5,403,624,222,0.9,0.9284,random,434,cv,10,10,NA,5,15,1.3312352844514,0.968602964049205,1.30087468028069,1.36411243351176,,,
0.94,0.933,0.0384,0.0418,0.0308,Tue May 01 15:04:31 2018,cforest,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,507,cv,10,10,NA,5,4
0.89,0.886,0.0654,0.0706,0.0565,Tue May 01 15:05:00 2018,ctree,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,14,cv,10,10,NA,5,0.570953801739961
0.89,0.886,0.0654,0.0706,0.0565,Tue May 01 15:05:20 2018,ctree2,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,12,cv,10,10,NA,5,8,0.159390795975924
-4.837,-3.573,3.8,NA,NA,Tue May 01 16:34:51 2018,avNNet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,49,cv,10,10,NA,5,10,1.63368876137522e-05,TRUE
Fail,Fail,Fail,Fail,Fail,Tue May 01 16:34:59 2018,bag,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,7
0.308,0.371,0.464,1.23,1.02,Tue May 01 16:37:49 2018,bagEarth,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,169,cv,10,10,NA,5,5,1
0.422,0.471,-1,1.03,0.845,Tue May 01 16:39:14 2018,bagEarthGCV,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,32,cv,10,10,NA,5,1
0.329,0.342,0.528,1.27,0.98,Tue May 01 16:48:24 2018,bartMachine,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,492,cv,10,10,NA,5,30,1.72411793610081,0.923542444338091,3.23920364584774,1.73652585595846
0.521,0.538,-1,0.924,0.716,Tue May 01 16:48:42 2018,bayesglm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,none
0.456,0.478,0.418,1.04,0.809,Tue May 01 16:49:02 2018,blasso,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,18,cv,10,10,NA,5,0.669618419604376
0.469,0.486,-1,1.03,0.79,Tue May 01 16:49:20 2018,blassoAveraged,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,17,cv,10,10,NA,5,none
0.473,0.492,-1,1.02,0.783,Tue May 01 16:49:31 2018,bridge,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,10,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Tue May 01 16:49:38 2018,BstLm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,6
0.13,0.157,0.616,1.62,1.27,Tue May 01 16:50:17 2018,cforest,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,38,cv,10,10,NA,5,7
-0.106,-0.143,0.791,2.18,1.62,Tue May 01 16:50:30 2018,ctree,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,10,cv,10,10,NA,5,0.934229342034087
-0.105,-0.113,0.771,2.12,1.61,Tue May 01 16:50:43 2018,ctree2,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,11,cv,10,10,NA,5,3,0.926757726352662
0.426,0.456,0.453,1.09,0.852,Tue May 01 16:51:48 2018,cubist,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,64,cv,10,10,NA,5,68,9
-0.46,-0.329,1.35,2.55,2.1,Tue May 01 16:52:11 2018,dnn,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,20,cv,10,10,NA,5,14,3,5,0.463428027764894,0.523796389647759
0.462,0.503,0.454,0.966,0.789,Tue May 01 16:52:25 2018,earth,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,10,cv,10,10,NA,5,5,1
0.521,0.538,0.43,0.924,0.716,Tue May 01 16:52:34 2018,elm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,7,cv,10,10,NA,5,18,purelin
0.502,0.519,0.429,0.963,0.742,Tue May 01 16:52:42 2018,enet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,8,cv,10,10,NA,5,0.926757726352662,7.92591826489875e-05
-0.019,0.037,0.834,1.84,1.49,Tue May 01 16:58:18 2018,evtree,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,334,cv,10,10,NA,5,1.59936639294028
0.255,0.273,0.577,1.41,1.09,Tue May 01 17:01:33 2018,extraTrees,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,189,cv,10,10,NA,5,5,1
0.462,0.488,0.412,1.03,0.801,Tue May 01 17:01:55 2018,foba,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,15,cv,10,10,NA,5,4,0.000233627842770012
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:02:43 2018,gam,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,39
0.349,0.382,0.481,1.22,0.963,Tue May 01 17:05:19 2018,gamboost,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,152,cv,10,10,NA,5,229,yes
0.522,0.541,0.429,0.919,0.714,Tue May 01 17:05:49 2018,gamSpline,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,25,cv,10,10,NA,5,1.14043716574088
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:06:01 2018,gaussprLinear,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,11
0.513,0.531,0.429,0.938,0.726,Tue May 01 17:06:11 2018,gaussprPoly,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,9,cv,10,10,NA,5,1,0.430317127034221
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:06:25 2018,gaussprRadial,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,13
0.334,0.316,0.633,1.33,0.971,Tue May 01 17:07:16 2018,gbm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,49,cv,10,10,NA,5,2304,1,0.191347216843162,5
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:11:20 2018,gbm_h2o,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,236
0.343,0.395,-1,1.18,0.969,Tue May 01 17:11:35 2018,gcvEarth,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,14,cv,10,10,NA,5,1
0.521,0.538,-1,0.924,0.716,Tue May 01 17:11:44 2018,glm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,7,cv,10,10,NA,5,none
0.527,0.54,0.432,0.921,0.707,Tue May 01 17:11:53 2018,glm.nb,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,7,cv,10,10,NA,5,identity
0.481,0.494,0.427,1.01,0.772,Tue May 01 17:12:19 2018,glmboost,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,25,cv,10,10,NA,5,150,no
0.506,0.524,0.429,0.953,0.736,Tue May 01 17:12:39 2018,glmnet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,14,cv,10,10,NA,5,0.228087433148175,0.0218337936710611
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:16:41 2018,glmnet_h2o,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,235
0.462,0.488,-1,1.03,0.801,Tue May 01 17:17:18 2018,glmStepAIC,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,36,cv,10,10,NA,5,none
0.521,0.538,0.43,0.924,0.716,Tue May 01 17:17:48 2018,icr,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,27,cv,10,10,NA,5,9
0.515,0.521,0.425,0.96,0.724,Tue May 01 17:17:55 2018,kernelpls,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,6,cv,10,10,NA,5,2
0.163,0.204,0.638,1.54,1.23,Tue May 01 17:18:08 2018,kknn,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,12,cv,10,10,NA,5,12,1.90108255902305,cos
0.142,0.196,0.622,1.55,1.26,Tue May 01 17:18:15 2018,knn,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,6
-0.002,0.004,0.775,1.9,1.47,Tue May 01 17:18:25 2018,krlsPoly,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,9,cv,10,10,NA,5,0.468971779989805,3
0.509,0.529,0.429,0.944,0.732,Tue May 01 17:19:00 2018,krlsRadial,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,34,cv,10,10,NA,5,0.00181489151482409,3114.17014059126
0.504,0.522,0.429,0.958,0.739,Tue May 01 17:19:15 2018,lars,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,6,cv,10,10,NA,5,0.934229342034087
0.469,0.481,0.427,1.04,0.788,Tue May 01 17:19:21 2018,lars2,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,9
0.504,0.522,0.429,0.958,0.739,Tue May 01 17:19:27 2018,lasso,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,0.934229342034087
0.462,0.488,0.412,1.03,0.801,Tue May 01 17:19:37 2018,leapBackward,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,8,cv,10,10,NA,5,4
0.462,0.488,0.412,1.03,0.801,Tue May 01 17:19:43 2018,leapForward,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,4
0.462,0.488,0.412,1.03,0.801,Tue May 01 17:19:50 2018,leapSeq,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,4
0.521,0.538,-1,0.924,0.716,Tue May 01 17:19:56 2018,lm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,4,cv,10,10,NA,5,TRUE
0.462,0.488,-1,1.03,0.801,Tue May 01 17:20:11 2018,lmStepAIC,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,14,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,PackageFail,Tue May 01 17:20:42 2018,logicBag,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,27
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:21:08 2018,logreg,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,14
0.462,0.488,0.433,1.03,0.801,Tue May 01 17:22:28 2018,M5,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,77,cv,10,10,NA,5,Yes,Yes,Yes
0.462,0.488,0.433,1.03,0.801,Tue May 01 17:23:03 2018,M5Rules,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,26,cv,10,10,NA,5,Yes,Yes
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:23:21 2018,mlpKerasDecay,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,15
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:23:45 2018,mlpKerasDropout,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,11
0.462,0.488,0.412,1.03,0.801,Tue May 01 17:24:43 2018,msaenet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,48,cv,10,10,NA,5,0.890806407830678,8,1.09567335463362
Fail,Fail,Fail,Fail,PackageFail,Tue May 01 17:25:09 2018,mxnet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,20
Fail,Fail,Fail,Fail,PackageFail,Tue May 01 17:25:27 2018,mxnetAdam,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,18
-4.837,-3.573,3.8,NA,NA,Tue May 01 17:25:46 2018,nnet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,14,cv,10,10,NA,5,10,1.63368876137522e-05
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:26:04 2018,nnls,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,10
-0.006,0,-1,1.9,1.47,Tue May 01 17:26:08 2018,null,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,4,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:26:22 2018,ordinalNet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,12
0.19,0.188,0.594,1.57,1.19,Tue May 01 17:26:58 2018,parRF,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,34,cv,10,10,NA,5,7
-4.837,-3.573,3.8,NA,NA,Tue May 01 17:27:14 2018,pcaNNet,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,15,cv,10,10,NA,5,10,1.63368876137522e-05
0.479,0.514,0.515,0.973,0.78,Tue May 01 17:27:21 2018,pcr,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,8
Fail,Fail,Fail,Fail,PackageFail,Tue May 01 17:27:39 2018,pls,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,17
0.482,0.496,0.42,1.01,0.771,Tue May 01 17:28:35 2018,plsRglm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,51,cv,10,10,NA,5,7,0.0181350121740252
0.373,0.417,0.411,1.14,0.92,Tue May 01 17:28:49 2018,ppr,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,12,cv,10,10,NA,5,1
Fail,Fail,Fail,Fail,PackageFail,Tue May 01 17:29:07 2018,pythonKnnReg,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,16
-0.715,-0.477,1.06,2.79,2.44,Tue May 01 17:30:15 2018,qrf,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,62,cv,10,10,NA,5,9
0.217,0.24,0.584,1.47,1.15,Tue May 01 17:31:09 2018,ranger,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,44,cv,10,10,NA,5,8,extratrees
0.196,0.204,0.592,1.54,1.18,Tue May 01 17:39:20 2018,Rborist,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,489,cv,10,10,NA,5,6
-0.331,-0.114,0.852,NA,NA,Tue May 01 17:39:53 2018,relaxo,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,16,cv,10,10,NA,5,311.98767000331,0.344823587220162
0.176,0.175,0.603,1.6,1.21,Tue May 01 17:40:30 2018,rf,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,35,cv,10,10,NA,5,8
0.526,0.536,0.428,0.93,0.707,Tue May 01 17:40:41 2018,ridge,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,9,cv,10,10,NA,5,0.104162289608128
0.524,0.537,0.43,0.929,0.711,Tue May 01 17:40:48 2018,rlm,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,6,cv,10,10,NA,5,TRUE,psi.huber
-0.047,0.053,0.822,1.81,1.53,Tue May 01 17:40:55 2018,rpart,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,0.0757395081431616
-0.015,0.094,-1,1.73,1.48,Tue May 01 17:41:02 2018,rpart1SE,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,none
-0.019,0.061,0.808,1.8,1.49,Tue May 01 17:41:10 2018,rpart2,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,5,cv,10,10,NA,5,3
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:41:17 2018,rqlasso,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,5
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:41:22 2018,rqnc,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,4
0.229,0.238,0.55,1.48,1.13,Tue May 01 17:42:57 2018,RRF,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,94,cv,10,10,NA,5,6,0.516643577255309,0.97041894774884
0.241,0.239,0.585,1.48,1.11,Tue May 01 17:44:00 2018,RRFglobal,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,56,cv,10,10,NA,5,5,0.126664415933192
0.552,0.566,-1,NA,NA,Tue May 01 17:44:29 2018,rvmLinear,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,17,cv,10,10,NA,5,none
0.528,0.562,0.457,NA,NA,Tue May 01 17:44:53 2018,rvmPoly,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,21,cv,10,10,NA,5,0.000529807297719679,1
-5.028,-3.958,4.03,NA,NA,Tue May 01 17:45:25 2018,rvmRadial,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,31,cv,10,10,NA,5,0.349832626175923
0.244,0.29,0.661,1.39,1.12,Tue May 01 17:55:09 2018,SBC,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,575,nohyperparameters,4,10,no rep,no min,1,0.5,0
0.515,0.521,0.425,0.96,0.724,Tue May 01 17:55:24 2018,simpls,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,6,cv,10,10,NA,5,2
0.494,0.511,0.427,0.979,0.754,Tue May 01 17:57:00 2018,spikeslab,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,94,cv,10,10,NA,5,8
0.515,0.531,0.429,0.938,0.724,Tue May 01 17:57:14 2018,spls,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,12,cv,10,10,NA,5,3,0.0355282202363014,0.230418735998683
-6.455,-4.764,4.77,NA,NA,Tue May 01 17:57:25 2018,superpc,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,10,cv,10,10,NA,5,0.450908926548436,1
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:57:31 2018,svmBoundrangeString,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,4
Fail,Fail,Fail,Fail,Fail,Tue May 01 17:57:36 2018,svmExpoString,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,4
0.507,0.524,0.42,0.951,0.734,Tue May 01 17:59:14 2018,svmLinear,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,97,cv,10,10,NA,5,30.2009758617618
0.507,0.524,0.42,0.951,0.734,Tue May 01 18:01:11 2018,svmLinear2,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,104,cv,10,10,NA,5,30.2009758617618
0.523,0.552,0.439,NA,NA,Tue May 01 18:01:46 2018,svmLinear3,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,32,cv,10,10,NA,5,0.362466818760663,L2
0.507,0.524,0.42,0.951,0.735,Tue May 01 18:02:08 2018,svmPoly,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,20,cv,10,10,NA,5,1,0.818032401683983,77.3507326759381
0.057,0.045,0.766,1.83,1.38,Tue May 01 18:02:19 2018,svmRadial,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,9,cv,10,10,NA,5,0.113196923627883,3.84789810738429
0.057,0.045,0.766,1.83,1.38,Tue May 01 18:02:31 2018,svmRadialCost,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,10,cv,10,10,NA,5,2.6425680588336
0.057,0.045,0.766,1.83,1.38,Tue May 01 18:02:44 2018,svmRadialSigma,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,1.907,0.7837,random,312,11,cv,10,10,NA,5,0.113196923627883,3.84789810738429
Fail,Fail,Fail,Fail,Fail,Tue May 01 18:02:51 2018,svmSpectrumString,1,1,sparsity 2 row center,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,5
