usr_scor,sDnchar,sDUnqWords,sDCountWords,rank,isPDF,sCntQstr,sCntEngine,sRareSite,sRareQstr,sRareEngine,s.score,sRank,sRankMean,lp.score,sCntSubQstr,sStrongSubQstr,searchCount,sSearchBrevity,sRareSiteBySearch,sSimpleBySearch,sLinProBySearch,rankMin,sRareQstrMin,sRareEngineMin,sRankMin,searchCountMin,sSearchBrevityMin,sRareSiteBySearchMin,sSimpleBySearchMin,sLinProBySearchMin
7,6361,4,12,5,0,4,1,65,118,2722,4,0.00970873786407767,4,1,8,6,118,0.0158730158730159,46.4615384615385,4,1.07692307692308,3,13,2722,0.00952380952380952,13,0.00595238095238095,10.9067796610169,1.47457627118644,0.990196078431373
7,39280,2,5,4,0,1,1,82,13,2722,1,0.00961538461538462,4,1,0,0,13,0.0158730158730159,46.4615384615385,2.76923076923077,1.07692307692308,4,13,2722,0.00961538461538462,13,0.0158730158730159,46.4615384615385,2.76923076923077,1.07692307692308
7,33496,2,7,5,0,1,1,82,13,2722,1,0.00952380952380952,5,1,0,0,13,0.0158730158730159,46.4615384615385,2.76923076923077,1.07692307692308,5,13,2722,0.00952380952380952,13,0.0158730158730159,46.4615384615385,2.76923076923077,1.07692307692308
7,6825,4,14,10,0,5,1,65,118,2722,5,0.00943396226415094,8,1,8,6,118,0.0172413793103448,61.125,9.125,1.25,6,8,2722,0.00909090909090909,8,0.00595238095238095,10.9067796610169,1.47457627118644,0.990196078431373
3,54827,4,92,12,0,2,1,44,118,2722,2,0.00909090909090909,11,1,8,6,118,0.0158730158730159,46.4615384615385,2.76923076923077,1.07692307692308,10,13,2722,0.00892857142857143,13,0.00595238095238095,10.9067796610169,1.47457627118644,1.00847457627119
3,53120,1,75,6,0,2,1,44,10,2722,2,0.0099009900990099,3.5,1,6,3,10,0.0169491525423729,32.7,3.44444444444444,1,1,9,2722,0.00943396226415094,9,0.0166666666666667,28,3.1,1
7,9189,1,3,7,0,3,1,82,10,2722,3,0.00970873786407767,4.66666666666667,1,6,3,10,0.0172413793103448,39.5,3.44444444444444,1,3,8,2722,0.00934579439252336,8,0.0166666666666667,28,3.1,1
7,49105,1,34,10,0,1,1,82,10,2722,1,0.00909090909090909,10,1,0,0,10,0.0166666666666667,32.7,3.1,1,10,10,2722,0.00909090909090909,10,0.0166666666666667,32.7,3.1,1
7,18452,1,13,7,0,1,1,82,8,2722,1,0.00934579439252336,7,1,0,0,8,0.0172413793103448,39.5,3.375,1,7,8,2722,0.00934579439252336,8,0.0172413793103448,39.5,3.375,1
3,42778,1,33,8,0,1,1,44,8,2722,1,0.00925925925925926,8,1,0,0,8,0.0172413793103448,39.5,3.375,1,8,8,2722,0.00925925925925926,8,0.0172413793103448,39.5,3.375,1
7,8323,2,24,3,0,3,1,7,23,2722,3,0.0099009900990099,2,1,6,4,23,0.0166666666666667,34.1,7.2,1.1,1,10,2722,0.00970873786407767,10,0.0136986301369863,11.7826086956522,3.5,1
3,54384,3,67,10,0,6,1,44,34,2722,6,0.00961538461538462,6.33333333333333,1,6,4,34,0.0172413793103448,24.9,7.08333333333333,1.16666666666667,4,8,2722,0.00909090909090909,8,0.0119047619047619,7.64705882352941,3.38235294117647,1
3,151654,5,18,20,0,4,1,5,23,2722,4,0.00934579439252336,11.25,1,6,4,23,0.0172413793103448,24.125,8.75,1.16666666666667,7,8,2722,0.00833333333333333,8,0.0136986301369863,11.7826086956522,3.75,1
3,52846,3,67,8,0,2,1,44,125,2722,2,0.0099009900990099,4.5,1,6,3,111,0.0161290322580645,18.3333333333333,7.08333333333333,1.16666666666667,1,12,2722,0.00925925925925926,12,0.0062111801242236,6.23423423423423,1.24324324324324,1
7,30011,3,4,6,0,3,1,6,20,2722,3,0.00961538461538462,5,1,6,3,20,0.0161290322580645,24.4666666666667,7.08333333333333,1.16666666666667,4,12,2722,0.00943396226415094,12,0.0142857142857143,13.65,2.8,1
3,18774,0,0,6,0,2,1,3,34,2722,2,0.00970873786407767,4.5,1,6,3,34,0.0175438596491228,10.5714285714286,7.85714285714286,1.14285714285714,3,7,2722,0.00943396226415094,7,0.0119047619047619,7.64705882352941,3.38235294117647,1.05882352941176
7,0,0,0,18,0,2,1,2,34,2722,2,0.00869565217391304,16.5,1,6,3,34,0.0142857142857143,13.65,3.38235294117647,1.05882352941176,15,20,2722,0.00847457627118644,20,0.0119047619047619,7.64705882352941,2.8,1
3,0,0,0,20,1,2,1,2,34,2722,2,0.00862068965517241,18,1,6,3,34,0.0142857142857143,13.65,3.38235294117647,1.05882352941176,16,20,2722,0.00833333333333333,20,0.0119047619047619,7.64705882352941,2.8,1
7,962300,6,38,25,0,3,1,14,34,2722,3,0.0099009900990099,11.6666666666667,1,6,3,34,0.0175438596491228,41.1,7.9,1.2,1,7,2722,0.008,7,0.0119047619047619,7.64705882352941,3.38235294117647,1.05882352941176
2,1280113,2,7,26,0,2,1,2,34,2722,2,0.00847457627118644,22,1,6,3,34,0.0142857142857143,13.65,3.38235294117647,1.05882352941176,18,20,2722,0.00793650793650794,20,0.0119047619047619,7.64705882352941,2.8,1
1,604288,0,0,34,0,2,1,2,34,2722,2,0.00854700854700855,25.5,1,6,3,34,0.0142857142857143,13.65,3.38235294117647,1.05882352941176,17,20,2722,0.00746268656716418,20,0.0119047619047619,7.64705882352941,2.8,1
7,29423,0,0,6,0,2,1,3,10,2722,2,0.00961538461538462,5,1,6,4,10,0.0175438596491228,41.1,7.9,1.2,4,7,2722,0.00943396226415094,7,0.0166666666666667,10.5714285714286,7.85714285714286,1.14285714285714
3,0,0,0,10,1,2,1,8,10,2722,2,0.00943396226415094,8,1,6,4,10,0.0175438596491228,41.1,7.9,1.2,6,7,2722,0.00909090909090909,7,0.0166666666666667,10.5714285714286,7.85714285714286,1.14285714285714
8,7649,2,24,4,0,6,1,10,13,2722,6,0.0099009900990099,1.83333333333333,1,6,4,13,0.0172413793103448,38,4.125,1.07692307692308,1,8,2722,0.00961538461538462,8,0.0158730158730159,17.7,3.5,1
7,7910,1,4,71,0,5,1,5,249,2722,5,0.00970873786407767,35,3,6,3,150,0.0161290322580645,14.5428571428571,2.91666666666667,1.16666666666667,3,12,2722,0.00584795321637427,12,0.005,4.52666666666667,1.14,1.02857142857143
7,17545,2,16,10,0,6,1,82,99,2722,6,0.00961538461538462,6.66666666666667,1,6,4,99,0.0172413793103448,36.1818181818182,8.63636363636364,1.125,4,8,2722,0.00909090909090909,8,0.00671140939597315,6.71717171717172,1.4949494949495,1
3,3478,3,12,3,0,3,1,65,118,2722,3,0.01,1,1,6,4,118,0.0172413793103448,61.125,9.125,1.25,0,8,2722,0.00970873786407767,8,0.00595238095238095,10.9067796610169,1.47457627118644,0.990196078431373
3,7843,4,12,4,0,3,1,65,118,2722,3,0.00970873786407767,3.33333333333333,1,6,4,118,0.0172413793103448,61.125,9.125,1.25,3,8,2722,0.00961538461538462,8,0.00595238095238095,10.9067796610169,1.47457627118644,0.990196078431373
8,0,0,0,5,1,2,1,2,6,2722,2,0.00970873786407767,4,0.5,8,6,6,0.0185185185185185,13.25,12.75,1.125,3,4,2722,0.00952380952380952,4,0.0178571428571429,11.1666666666667,8.66666666666667,1
7,53478,3,78,1,0,2,1,44,88,2722,2,0.0099009900990099,1,1,6,3,80,0.0147058823529412,13.2777777777778,4.61111111111111,1.0625,1,18,2722,0.0099009900990099,18,0.00769230769230769,6.475,1.1375,1.05555555555556
7,105519,5,104,4,0,2,1,13,18,2722,2,0.00970873786407767,3.5,1,6,3,18,0.0158730158730159,13.2777777777778,4.61111111111111,1.05555555555556,3,13,2722,0.00961538461538462,13,0.0147058823529412,8.61538461538461,2.84615384615385,1
7,55038,3,78,7,0,2,1,44,88,2722,2,0.00943396226415094,6.5,1,6,3,80,0.0147058823529412,13.2777777777778,4.61111111111111,1.0625,6,18,2722,0.00934579439252336,18,0.00769230769230769,6.475,1.1375,1.05555555555556
8,20609,7,14,7,0,2,1,19,249,2722,2,0.00952380952380952,6,1,6,3,150,0.0158730158730159,8.61538461538461,2.84615384615385,1.04666666666667,5,13,2722,0.00934579439252336,13,0.005,4.52666666666667,1.14,1
3,11952,1,6,2,0,2,1,32,10,2722,2,0.0099009900990099,1.5,1,6,4,10,0.0172413793103448,35.375,8,1.125,1,8,2722,0.00980392156862745,8,0.0166666666666667,31.6,6.1,1.05
7,6361,4,12,2,0,2,1,65,13,2722,2,0.0099009900990099,1.5,1,6,4,13,0.0169491525423729,54.4444444444444,7.07692307692308,1.11111111111111,1,9,2722,0.00980392156862745,9,0.0158730158730159,22,4.11111111111111,1.03846153846154
8,127829,4,108,6,0,2,1,13,9,2722,2,0.0099009900990099,3.5,1,6,4,9,0.0178571428571429,54.4444444444444,8.66666666666667,1.11111111111111,1,6,2722,0.00943396226415094,6,0.0169491525423729,11.1666666666667,4.11111111111111,1
8,73435,8,15,6,0,2,1,3,13,2722,2,0.00943396226415094,6,1,6,4,13,0.0166666666666667,36.4615384615385,4,1.07692307692308,6,10,2722,0.00943396226415094,10,0.0158730158730159,17.7,3.5,1
3,196884,3,21,12,0,2,1,19,75,2722,2,0.00900900900900901,11.5,1,6,4,75,0.00833333333333333,14.5428571428571,1.88,1.04,11,70,2722,0.00892857142857143,70,0.008,12.5733333333333,1.72857142857143,1.02857142857143
3,59117,1,7,13,0,2,1,44,75,2722,2,0.00892857142857143,12.5,1,6,4,75,0.00833333333333333,14.5428571428571,1.88,1.04,12,70,2722,0.00884955752212389,70,0.008,12.5733333333333,1.72857142857143,1.02857142857143
2,0,0,0,37,0,2,1,82,75,2722,2,0.00746268656716418,35.5,1,6,4,75,0.00833333333333333,14.5428571428571,1.88,1.04,34,70,2722,0.0072992700729927,70,0.008,12.5733333333333,1.72857142857143,1.02857142857143
8,19816,4,6,43,0,2,1,19,75,2722,2,0.00709219858156028,42,1,6,4,75,0.00833333333333333,14.5428571428571,1.88,1.04,41,70,2722,0.00699300699300699,70,0.008,12.5733333333333,1.72857142857143,1.02857142857143
8,23692,5,8,60,0,4,1,12,249,2722,4,0.0099009900990099,31.25,2,6,4,150,0.0185185185185185,31.5,4,1.25,1,4,2722,0.00625,4,0.005,4.52666666666667,1.14,1.04
8,320821,3,78,67,0,3,1,14,99,2722,3,0.00952380952380952,39,1,8,7,99,0.0166666666666667,31.6,6.1,1.05,5,10,2722,0.00598802395209581,10,0.00671140939597315,6.71717171717172,1.4949494949495,1
7,6873,4,5,7,0,2,1,4,15,2722,2,0.00980392156862745,4.5,1,6,5,15,0.0158730158730159,36.4615384615385,5.13333333333333,1.07692307692308,2,13,2722,0.00934579439252336,13,0.0153846153846154,7.73333333333333,4,1
8,505162,7,84,11,0,1,1,82,13,2722,1,0.00900900900900901,11,1,0,0,13,0.0158730158730159,36.4615384615385,4,1.07692307692308,11,13,2722,0.00900900900900901,13,0.0158730158730159,36.4615384615385,4,1.07692307692308
3,155599,0,0,14,0,2,1,5,15,2722,2,0.00892857142857143,13,1,6,5,15,0.0158730158730159,36.4615384615385,5.13333333333333,1.07692307692308,12,13,2722,0.0087719298245614,13,0.0153846153846154,7.73333333333333,4,1
7,78824,5,99,15,0,2,1,2,15,2722,2,0.00884955752212389,14,1,6,5,15,0.0158730158730159,36.4615384615385,5.13333333333333,1.07692307692308,13,13,2722,0.00869565217391304,13,0.0153846153846154,7.73333333333333,4,1
8,45259,8,15,3,0,1,1,14,15,2722,1,0.00970873786407767,3,1,0,0,15,0.0153846153846154,7.73333333333333,5.13333333333333,1,3,15,2722,0.00970873786407767,15,0.0153846153846154,7.73333333333333,5.13333333333333,1
7,29104,4,8,8,0,1,1,12,15,2722,1,0.00925925925925926,8,1,0,0,15,0.0153846153846154,24.4666666666667,3.06666666666667,1.06666666666667,8,15,2722,0.00925925925925926,15,0.0153846153846154,24.4666666666667,3.06666666666667,1.06666666666667
8,407637,2,5,13,0,1,1,13,15,2722,1,0.00884955752212389,13,1,0,0,15,0.0153846153846154,24.4666666666667,3.06666666666667,1.06666666666667,13,15,2722,0.00884955752212389,15,0.0153846153846154,24.4666666666667,3.06666666666667,1.06666666666667
7,39837,2,4,7,0,2,1,44,11,2722,2,0.00980392156862745,4.5,1,6,4,11,0.0178571428571429,36.1818181818182,11.8333333333333,1.16666666666667,2,6,2722,0.00934579439252336,6,0.0163934426229508,35.5,8.63636363636364,1.09090909090909
8,20764,5,45,112,0,4,1,19,118,2722,4,0.00980392156862745,34,1,6,4,118,0.0169491525423729,49.4444444444444,8.22222222222222,1.22222222222222,2,9,2722,0.00471698113207547,9,0.00595238095238095,10.9067796610169,1.47457627118644,0.990196078431373
7,3303,1,2,8,0,4,2,5,88,2722,5,0.01,3,1,6,3,79,0.0169491525423729,27.9,4,1.33333333333333,0,10,638,0.00925925925925926,9,0.00775193798449612,8.92405063291139,1.64556962025316,1
8,27852,3,26,2,0,1,1,16,10,2722,1,0.00980392156862745,2,1,0,0,10,0.0166666666666667,23.8,4,1,2,10,2722,0.00980392156862745,10,0.0166666666666667,23.8,4,1
8,14800,7,16,66,0,4,1,4,88,2722,4,0.00952380952380952,21.5,2,6,3,80,0.0166666666666667,27.9,3.6,1.10126582278481,5,10,2722,0.00602409638554217,10,0.00769230769230769,6.475,1.1375,1.0625
7,23331,3,8,2,0,1,1,12,4,2722,1,0.00980392156862745,2,1,0,0,4,0.0185185185185185,31.5,4,1.25,2,4,2722,0.00980392156862745,4,0.0185185185185185,31.5,4,1.25
3,184889,2,23,6,0,1,1,19,11,2722,1,0.00943396226415094,6,1,0,0,11,0.0163934426229508,12,3.18181818181818,1.09090909090909,6,11,2722,0.00943396226415094,11,0.0163934426229508,12,3.18181818181818,1.09090909090909
8,409235,2,85,7,0,1,1,13,88,2722,1,0.00934579439252336,7,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,7,88,2722,0.00934579439252336,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
3,8976,1,12,9,0,1,1,82,88,2722,1,0.00917431192660551,9,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,9,88,2722,0.00917431192660551,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
3,79141,1,21,11,0,1,1,4,88,2722,1,0.00900900900900901,11,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,11,88,2722,0.00900900900900901,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
7,8746,1,21,16,0,1,1,82,88,2722,1,0.00862068965517241,16,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,16,88,2722,0.00862068965517241,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
3,72550,2,38,17,0,1,1,13,88,2722,1,0.00854700854700855,17,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,17,88,2722,0.00854700854700855,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
7,57658,1,63,18,0,1,2,44,88,2722,2,0.00943396226415094,12,1,2,1,79,0.0169491525423729,21.4444444444444,2.33333333333333,1.33333333333333,6,88,638,0.00847457627118644,9,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
7,16355,3,37,42,0,1,1,12,88,2722,1,0.00704225352112676,42,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,42,88,2722,0.00704225352112676,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
8,0,4,17,53,0,3,1,3,249,2722,3,0.0078125,40,3,2,1,150,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,28,88,2722,0.0065359477124183,79,0.005,4.52666666666667,1.1375,1.04666666666667
2,13576,4,5,56,0,2,1,5,88,2722,2,0.00675675675675676,52,2,2,1,80,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,48,88,2722,0.00641025641025641,79,0.00769230769230769,6.475,1.1375,1.0625
3,4916,1,2,73,0,1,1,2,88,2722,1,0.00578034682080925,73,1,0,0,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481,73,88,2722,0.00578034682080925,79,0.00775193798449612,8.92405063291139,1.64556962025316,1.10126582278481
