0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
0.995,0.994,0.005,0.004,0.003,Sun Jan 28 17:00:27 2018,M5,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,18,cv,20,3,NA,5,Yes,No,Yes
0.995,0.994,0.005,0.004,0.003,Sun Jan 28 17:00:37 2018,M5Rules,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,9,cv,20,3,NA,5,Yes,No
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:00:41 2018,mlpKerasDecay,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:00:52 2018,mlpKerasDropout,1,1,bas interactive latent features,ignore,none,YeoJohnson,11
0.965,0.962,0.023,0.024,0.018,Sun Jan 28 17:01:06 2018,msaenet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,13,cv,20,3,NA,5,0.341169149870984,4,3.51404198334785
Fail,Fail,Fail,Fail,PackageFail,Sun Jan 28 17:01:09 2018,mxnet,1,1,bas interactive latent features,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,PackageFail,Sun Jan 28 17:01:12 2018,mxnetAdam,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
-0.217,-0.314,0.832,0.825,0.634,Sun Jan 28 17:01:32 2018,nnet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,20,cv,20,3,NA,5,14,0.000106810236636984
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:01:36 2018,nnls,1,1,bas interactive latent features,ignore,none,YeoJohnson,3
-0.001,0,-1,0.628,0.522,Sun Jan 28 17:01:38 2018,null,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:01:44 2018,ordinalNet,1,1,bas interactive latent features,ignore,none,YeoJohnson,5
0.962,0.958,0.036,0.026,0.02,Sun Jan 28 17:02:31 2018,parRF,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,46,cv,20,3,NA,5,4
-0.209,-0.314,0.832,0.825,0.63,Sun Jan 28 17:02:48 2018,pcaNNet,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,16,cv,20,3,NA,5,7,0.000411701297268592
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 17:02:50 2018,pcr,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,8
Fail,Fail,Fail,Fail,PackageFail,Sun Jan 28 17:02:53 2018,pls,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 17:02:59 2018,plsRglm,1,1,bas interactive latent features,ignore,none,YeoJohnson,5
0.999,0.999,0.004,0,0,Sun Jan 28 17:03:13 2018,ppr,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,13,cv,20,3,NA,5,12
Fail,Fail,Fail,Fail,PackageFail,Sun Jan 28 17:03:16 2018,pythonKnnReg,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
0.863,0.87,0.095,0.082,0.071,Sun Jan 28 17:04:12 2018,qrf,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,56,cv,20,3,NA,5,9
0.999,0.999,0,0,0,Sun Jan 28 18:50:30 2018,qrnn,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6377,cv,20,3,NA,5,9,0,FALSE
0.972,0.968,0.027,0.02,0.014,Sun Jan 28 18:51:14 2018,ranger,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,42,cv,20,3,NA,5,8,extratrees
0.963,0.96,0.035,0.025,0.019,Sun Jan 28 18:53:20 2018,Rborist,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,125,cv,20,3,NA,5,4
0.699,0.75,0.243,0.157,0.157,Sun Jan 28 18:53:24 2018,relaxo,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,396.487524222324,0.74787291069515
0.96,0.956,0.036,0.028,0.021,Sun Jan 28 18:54:09 2018,rf,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,44,cv,20,3,NA,5,4
0.99,0.988,0.008,0.008,0.005,Sun Jan 28 18:54:12 2018,ridge,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,0.000232948822684871
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 18:54:15 2018,rlm,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,TRUE,psi.huber
0.884,0.878,0.084,0.077,0.06,Sun Jan 28 18:54:19 2018,rpart,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,9.2123051264418e-05
0.763,0.757,-1,0.153,0.123,Sun Jan 28 18:54:22 2018,rpart1SE,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,none
0.763,0.757,0.157,0.153,0.123,Sun Jan 28 18:54:25 2018,rpart2,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,9
0.997,0.996,0.003,0.003,0.002,Sun Jan 28 18:54:31 2018,rqlasso,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,5,cv,20,3,NA,5,0.000232948822684871
0.997,0.996,0.003,0.003,0.002,Sun Jan 28 18:54:35 2018,rqnc,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,0.00104643052471841,MCP
0.961,0.957,0.035,0.027,0.02,Sun Jan 28 18:59:16 2018,RRF,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,279,cv,20,3,NA,5,4,0.269097039243206,0.500789992511272
0.961,0.957,0.035,0.027,0.02,Sun Jan 28 19:01:27 2018,RRFglobal,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,131,cv,20,3,NA,5,4,0.269097039243206
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 19:06:24 2018,rvmLinear,1,1,bas interactive latent features,ignore,none,YeoJohnson,296
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 19:52:20 2018,rvmPoly,1,1,bas interactive latent features,ignore,none,YeoJohnson,2755
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 20:16:20 2018,rvmRadial,1,1,bas interactive latent features,ignore,none,YeoJohnson,1440
0.903,0.896,0.072,0.066,0.05,Sun Jan 28 22:31:21 2018,SBC,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,8100,nohyperparameters,8,3,no rep,no min,0.5,0.5,0
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 22:31:24 2018,simpls,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,2,cv,20,3,NA,5,8
0.996,0.996,0.005,0.003,0.002,Sun Jan 28 22:31:40 2018,spikeslab,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,15,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 22:31:46 2018,spls,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,5,cv,20,3,NA,5,9,0.218356975587085,0.248035080730915
-1.988,-1.481,1.559,NA,NA,Sun Jan 28 22:31:50 2018,superpc,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,0.227876753313467,3
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 22:31:53 2018,svmBoundrangeString,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 22:31:55 2018,svmExpoString,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
NA,NA,0.044,NA,NA,Sun Jan 28 22:32:02 2018,svmLinear,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6,cv,20,3,NA,5,0.334053550945881
0.923,0.93,0.044,0.044,0.04,Sun Jan 28 22:32:06 2018,svmLinear2,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,0.334053550945881
0.889,0.896,0.064,0.065,0.058,Sun Jan 28 22:32:11 2018,svmLinear3,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,0.0229961326208282,L2
NA,NA,0.035,NA,NA,Sun Jan 28 22:32:17 2018,svmPoly,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,4,cv,20,3,NA,5,2,1.89986351609175,0.18450120738453
NA,NA,0.102,NA,NA,Sun Jan 28 22:32:23 2018,svmRadial,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6,cv,20,3,NA,5,0.0691781299497873,4.25830606621789
NA,NA,0.102,NA,NA,Sun Jan 28 22:32:30 2018,svmRadialCost,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6,cv,20,3,NA,5,5.4303772347263
NA,NA,0.102,NA,NA,Sun Jan 28 22:32:37 2018,svmRadialSigma,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,6,cv,20,3,NA,5,0.0691781299497873,4.25830606621789
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 22:32:39 2018,svmSpectrumString,1,1,bas interactive latent features,ignore,none,YeoJohnson,2
0.812,0.808,-1,0.121,0.098,Sun Jan 28 22:32:43 2018,treebag,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3,cv,20,3,NA,5,none
0.996,0.996,0.003,0.003,0.002,Sun Jan 28 22:34:12 2018,widekernelpls,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,73,cv,20,3,NA,5,8
0.897,0.891,0.081,0.068,0.054,Sun Jan 28 23:32:54 2018,WM,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,3521,cv,20,3,NA,5,15,GAUSSIAN
0.954,0.949,0.036,0.032,0.024,Sun Jan 28 23:33:15 2018,xgbLinear,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,20,cv,20,3,NA,5,70,0.102113663775567,0.000176301597442875,1.90445188223384
0.931,0.927,0.062,0.046,0.036,Sun Jan 28 23:36:01 2018,xgbTree,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,165,cv,20,3,NA,5,228,8,0.150983959605917,0.219709593802691,0.6372837677598,9,0.625271563010756
NA,NA,0.131,NA,NA,Sun Jan 28 23:36:28 2018,xyf,1,1,bas interactive latent features,ignore,none,YeoJohnson,0.628083071684721,random,249,26,cv,20,3,NA,5,16,20,0.770987634579651,rectangular
-0.19,-0.305,0.831,0.83,0.629,Sun Jan 28 23:37:22 2018,avNNet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,53,cv,20,3,NA,5,13,0.0110692069904103,FALSE
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 23:37:26 2018,bag,1,2,bas interactive latent features,ignore,none,YeoJohnson,3
0.969,0.965,0.022,NA,NA,Sun Jan 28 23:37:56 2018,bagEarth,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,29,cv,20,3,NA,5,7,2
0.968,0.964,-1,NA,NA,Sun Jan 28 23:38:26 2018,bagEarthGCV,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,5,cv,20,3,NA,5,1
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 23:38:59 2018,bam,1,2,bas interactive latent features,ignore,none,YeoJohnson,7
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 23:39:01 2018,bartMachine,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Sun Jan 28 23:39:03 2018,bayesglm,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
0.996,0.995,0.003,0.003,0.002,Sun Jan 28 23:39:14 2018,blasso,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,11,cv,20,3,NA,5,0.964375374373049
0.996,0.995,-1,0.003,0.002,Sun Jan 28 23:39:25 2018,blassoAveraged,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,10,cv,20,3,NA,5,none
0.996,0.995,-1,0.003,0.002,Sun Jan 28 23:39:36 2018,bridge,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,10,cv,20,3,NA,5,none
0.732,0.673,0.192,0.208,0.142,Sun Jan 28 23:40:33 2018,BstLm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,56,cv,20,3,NA,5,409,0.561757836044067
0.941,0.931,0.054,0.044,0.031,Sun Jan 28 23:41:42 2018,cforest,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,68,cv,20,3,NA,5,6
0.908,0.902,0.087,0.062,0.049,Sun Jan 28 23:41:47 2018,ctree,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,0.577013844624162
0.908,0.902,0.087,0.062,0.049,Sun Jan 28 23:41:51 2018,ctree2,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,10,0.507352751446888
0.997,0.996,0.003,0.002,0.002,Sun Jan 28 23:45:00 2018,cubist,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,188,cv,20,3,NA,5,98,2
-0.013,-0.021,0.657,0.65,0.535,Sun Jan 28 23:45:08 2018,dnn,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,8,cv,20,3,NA,5,20,17,12,0.216408792324364,0.0790467610582709
0.966,0.962,0.024,NA,NA,Sun Jan 28 23:45:12 2018,earth,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,7,2
0.996,0.996,0.003,0.002,0.002,Sun Jan 28 23:45:15 2018,elm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,15,purelin
0.995,0.994,0.004,0.004,0.003,Sun Jan 28 23:45:19 2018,enet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,0.852335422998294,2.49200814095057e-05
0.869,0.865,0.1,0.086,0.069,Mon Jan 29 00:31:36 2018,evtree,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2777,cv,20,3,NA,5,1.0841262396425
0.976,0.972,0.022,0.018,0.013,Mon Jan 29 00:40:02 2018,extraTrees,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,505,cv,20,3,NA,5,7,2
0.996,0.995,0.004,0.003,0.002,Mon Jan 29 00:40:07 2018,foba,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,8,2.49200814095057e-05
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 00:40:14 2018,gam,1,2,bas interactive latent features,ignore,none,YeoJohnson,7
0.983,0.981,0.013,0.012,0.009,Mon Jan 29 00:46:10 2018,gamboost,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,355,cv,20,3,NA,5,965,no
0.997,0.997,0.002,0.002,0.001,Mon Jan 29 00:46:40 2018,gamSpline,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,29,cv,20,3,NA,5,4.82187687186524
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 00:46:44 2018,gaussprLinear,1,2,bas interactive latent features,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 00:53:06 2018,gaussprPoly,1,2,bas interactive latent features,ignore,none,YeoJohnson,381
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 00:53:11 2018,gaussprRadial,1,2,bas interactive latent features,ignore,none,YeoJohnson,5
0.973,0.968,0.025,0.02,0.015,Mon Jan 29 00:55:40 2018,gbm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,148,cv,20,3,NA,5,1225,6,0.0505458157139365,9
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 00:59:24 2018,gbm_h2o,1,2,bas interactive latent features,ignore,none,YeoJohnson,223
0.966,0.962,-1,NA,NA,Mon Jan 29 00:59:27 2018,gcvEarth,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,1
0.996,0.996,-1,0.002,0.002,Mon Jan 29 00:59:30 2018,glm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,none
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 00:59:34 2018,glm.nb,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,identity
