Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:06:03 2017,DENFIS,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.003,-0.012,0.032,2.437,1.87,Wed Aug 09 23:06:08 2017,dnn,8,1,basic latent features,ignore,none,range01,2.4077036543,random,239,4,cv,5,6,1,5,3,5,2,0.0666661405,0.0320300133,,
0.971,0.961,4,0.093,0.055,Wed Aug 09 23:06:11 2017,earth,8,1,basic latent features,ignore,none,range01,2.4077036543,random,240,3,cv,5,6,1,5,4,1,,,,,
1,1,NA,0,0,Wed Aug 09 23:06:13 2017,elm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,241,2,cv,5,6,1,5,11,purelin,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:06:16 2017,enet,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.727,0.729,1.379,0.651,0.512,Wed Aug 09 23:12:13 2017,evtree,8,1,basic latent features,ignore,none,range01,2.4077036543,random,243,357,cv,5,6,1,5,1.378561927,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:12:14 2017,extraTrees,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
1,1,7,0,0,Wed Aug 09 23:12:16 2017,foba,8,1,basic latent features,ignore,none,range01,2.4077036543,random,245,2,cv,5,6,1,5,7,1.72028118569705e-05,,,,,
1,1,NA,0,0,Wed Aug 09 23:12:51 2017,gam,8,1,basic latent features,ignore,none,range01,2.4077036543,random,246,35,cv,5,6,1,5,FALSE,ML,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:12:56 2017,gamboost,8,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
1,1,3.542,0,0,Wed Aug 09 23:13:08 2017,gamSpline,8,1,basic latent features,ignore,none,range01,2.4077036543,random,248,12,cv,5,6,1,5,3.5417462781,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:13:14 2017,gaussprLinear,8,1,basic latent features,ignore,none,range01,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:13:21 2017,gaussprPoly,8,1,basic latent features,ignore,none,range01,7,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:13:29 2017,gaussprRadial,8,1,basic latent features,ignore,none,range01,8,,,,,,,,,,,,,,,
0.875,0.854,2915,0.352,0.235,Wed Aug 09 23:13:59 2017,gbm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,252,29,cv,5,6,1,5,2915,1,0.4736115413,8,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:14:21 2017,gbm_h2o,8,1,basic latent features,ignore,none,range01,22,,,,,,,,,,,,,,,
0.984,0.984,-1,0.038,0.03,Wed Aug 09 23:14:23 2017,gcvEarth,8,1,basic latent features,ignore,none,range01,2.4077036543,random,254,2,cv,5,6,1,5,1,,,,,,
1,1,-1,0,0,Wed Aug 09 23:14:25 2017,glm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,255,2,cv,5,6,1,5,none,,,,,,
1,1,NA,0,0,Wed Aug 09 23:14:28 2017,glm.nb,8,1,basic latent features,ignore,none,range01,2.4077036543,random,256,3,cv,5,6,1,5,identity,,,,,,
1,1,NA,0,0,Wed Aug 09 23:14:38 2017,glmboost,8,1,basic latent features,ignore,none,range01,2.4077036543,random,257,9,cv,5,6,1,5,520,no,,,,,
0.973,0.973,0.002,0.065,0.051,Wed Aug 09 23:14:41 2017,glmnet,8,1,basic latent features,ignore,none,range01,2.4077036543,random,258,3,cv,5,6,1,5,0.4954186373,0.0019392953,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:02 2017,glmnet_h2o,8,1,basic latent features,ignore,none,range01,21,,,,,,,,,,,,,,,
1,1,-1,0,0,Wed Aug 09 23:15:05 2017,glmStepAIC,8,1,basic latent features,ignore,none,range01,2.4077036543,random,260,2,cv,5,6,1,5,none,,,,,,
1,1,4,0,0,Wed Aug 09 23:15:09 2017,icr,8,1,basic latent features,ignore,none,range01,2.4077036543,random,261,3,cv,5,6,1,5,4,,,,,,
1,1,7,0,0,Wed Aug 09 23:15:11 2017,kernelpls,8,1,basic latent features,ignore,none,range01,2.4077036543,random,262,2,cv,5,6,1,5,7,,,,,,
0.9,0.892,NA,0.261,0.188,Wed Aug 09 23:15:18 2017,kknn,8,1,basic latent features,ignore,none,range01,2.4077036543,random,263,8,cv,5,6,1,5,21,2.2458525463,biweight,,,,
0.889,0.873,6,0.306,0.208,Wed Aug 09 23:15:20 2017,knn,8,1,basic latent features,ignore,none,range01,2.4077036543,random,264,2,cv,5,6,1,5,6,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:24 2017,krlsPoly,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:27 2017,krlsRadial,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
1,1,0.921,0,0,Wed Aug 09 23:15:29 2017,lars,8,1,basic latent features,ignore,none,range01,2.4077036543,random,267,2,cv,5,6,1,5,0.9213944431,,,,,,
1,1,9,0,0,Wed Aug 09 23:15:31 2017,lars2,8,1,basic latent features,ignore,none,range01,2.4077036543,random,268,2,cv,5,6,1,5,9,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:33 2017,lasso,8,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
1,1,6,0,0,Wed Aug 09 23:15:35 2017,leapBackward,8,1,basic latent features,ignore,none,range01,2.4077036543,random,270,2,cv,5,6,1,5,6,,,,,,
1,1,6,0,0,Wed Aug 09 23:15:37 2017,leapForward,8,1,basic latent features,ignore,none,range01,2.4077036543,random,271,1,cv,5,6,1,5,6,,,,,,
1,1,7,0,0,Wed Aug 09 23:15:39 2017,leapSeq,8,1,basic latent features,ignore,none,range01,2.4077036543,random,272,2,cv,5,6,1,5,7,,,,,,
1,1,-1,0,0,Wed Aug 09 23:15:41 2017,lm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,273,2,cv,5,6,1,5,TRUE,,,,,,
1,1,-1,0,0,Wed Aug 09 23:15:44 2017,lmStepAIC,8,1,basic latent features,ignore,none,range01,2.4077036543,random,274,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:47 2017,logicBag,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:50 2017,logreg,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:51 2017,M5,8,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:15:52 2017,M5Rules,8,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
0.764,0.768,3.46,0.56,0.442,Wed Aug 09 23:15:59 2017,msaenet,8,1,basic latent features,ignore,none,range01,2.4077036543,random,279,7,cv,5,6,1,5,0.3455012831,10,3.4599611426,,,,
0.983,0.968,0,0.076,0.032,Wed Aug 09 23:16:09 2017,nnet,8,1,basic latent features,ignore,none,range01,2.4077036543,random,280,9,cv,5,6,1,5,10,0.0001667964,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:16:11 2017,nnls,8,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:16:12 2017,ordinalNet,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
0.912,0.905,4,0.228,0.166,Wed Aug 09 23:16:35 2017,parRF,8,1,basic latent features,ignore,none,range01,2.4077036543,random,283,23,cv,5,6,1,5,4,,,,,,
0.974,0.956,0,0.105,0.049,Wed Aug 09 23:16:40 2017,pcaNNet,8,1,basic latent features,ignore,none,range01,2.4077036543,random,284,4,cv,5,6,1,5,12,0.0001841312,,,,,
1,1,8,0,0,Wed Aug 09 23:16:42 2017,pcr,8,1,basic latent features,ignore,none,range01,2.4077036543,random,285,2,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 09 23:16:48 2017,pls,8,1,basic latent features,ignore,none,range01,8,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:16:58 2017,plsRglm,8,1,basic latent features,ignore,none,range01,10,,,,,,,,,,,,,,,
1,1,1,0,0,Wed Aug 09 23:17:01 2017,ppr,8,1,basic latent features,ignore,none,range01,2.4077036543,random,288,3,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 09 23:17:07 2017,pythonKnnReg,8,1,basic latent features,ignore,none,range01,9,,,,,,,,,,,,,,,
0.772,0.801,6,0.479,0.428,Wed Aug 09 23:17:38 2017,qrf,8,1,basic latent features,ignore,none,range01,2.4077036543,random,290,31,cv,5,6,1,5,6,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:17:43 2017,qrnn,8,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:17:43 2017,randomGLM,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
0.913,0.904,6,0.231,0.163,Wed Aug 09 23:17:48 2017,ranger,8,1,basic latent features,ignore,none,range01,2.4077036543,random,293,4,cv,5,6,1,5,6,,,,,,
0.914,0.902,4,0.236,0.162,Wed Aug 09 23:19:33 2017,Rborist,8,1,basic latent features,ignore,none,range01,2.4077036543,random,294,104,cv,5,6,1,5,4,,,,,,
-0.715,-0.336,63.781,NA,NA,Wed Aug 09 23:19:36 2017,relaxo,8,1,basic latent features,ignore,none,range01,2.4077036543,random,295,3,cv,5,6,1,5,63.7811450349,0.4158065976,,,,,
0.907,0.896,8,0.251,0.174,Wed Aug 09 23:19:52 2017,rf,8,1,basic latent features,ignore,none,range01,2.4077036543,random,296,16,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:19:55 2017,ridge,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:19:59 2017,rlm,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.774,0.767,0.001,0.561,0.424,Wed Aug 09 23:20:01 2017,rpart,8,1,basic latent features,ignore,none,range01,2.4077036543,random,299,2,cv,5,6,1,5,0.0007010254,,,,,,
0.679,0.7,-1,0.721,0.602,Wed Aug 09 23:20:03 2017,rpart1SE,8,1,basic latent features,ignore,none,range01,2.4077036543,random,300,2,cv,5,6,1,5,none,,,,,,
0.679,0.7,11,0.721,0.602,Wed Aug 09 23:20:06 2017,rpart2,8,1,basic latent features,ignore,none,range01,2.4077036543,random,301,2,cv,5,6,1,5,11,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:20:07 2017,rqlasso,8,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:20:07 2017,rqnc,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
0.914,0.903,0.01,0.234,0.162,Wed Aug 09 23:20:58 2017,RRF,8,1,basic latent features,ignore,none,range01,2.4077036543,random,304,51,cv,5,6,1,5,7,0.4901597369,0.0102663962,,,,
0.914,0.905,0.297,0.23,0.162,Wed Aug 09 23:21:21 2017,RRFglobal,8,1,basic latent features,ignore,none,range01,2.4077036543,random,305,22,cv,5,6,1,5,6,0.2969600696,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:21:25 2017,rvmLinear,8,1,basic latent features,ignore,none,range01,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:22:04 2017,rvmPoly,8,1,basic latent features,ignore,none,range01,38,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:22:53 2017,rvmRadial,8,1,basic latent features,ignore,none,range01,49,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:22:57 2017,SBC,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
1,1,3,0,0,Wed Aug 09 23:22:59 2017,simpls,8,1,basic latent features,ignore,none,range01,2.4077036543,random,310,2,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:03 2017,spikeslab,8,1,basic latent features,ignore,none,range01,64,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:07 2017,spls,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:10 2017,superpc,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:10 2017,svmBoundrangeString,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:11 2017,svmExpoString,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
NA,NA,39.246,NA,NA,Wed Aug 09 23:24:14 2017,svmLinear,8,1,basic latent features,ignore,none,range01,2.4077036543,random,316,2,cv,5,6,1,5,39.2456976842,,,,,,
0.782,0.794,0.339,0.495,0.41,Wed Aug 09 23:24:16 2017,svmLinear2,8,1,basic latent features,ignore,none,range01,2.4077036543,random,317,2,cv,5,6,1,5,0.3390765112,,,,,,
-0.524,-0.229,1.603,NA,NA,Wed Aug 09 23:24:19 2017,svmLinear3,8,1,basic latent features,ignore,none,range01,2.4077036543,random,318,2,cv,5,6,1,5,1.6030091598,L1,,,,,
NA,NA,13.443,NA,NA,Wed Aug 09 23:24:21 2017,svmPoly,8,1,basic latent features,ignore,none,range01,2.4077036543,random,319,2,cv,5,6,1,5,3,0.0985299686,13.4425682837,,,,
NA,NA,0.449,NA,NA,Wed Aug 09 23:24:24 2017,svmRadial,8,1,basic latent features,ignore,none,range01,2.4077036543,random,320,3,cv,5,6,1,5,1.2631901852,0.4487121806,,,,,
NA,NA,0.28,NA,NA,Wed Aug 09 23:24:27 2017,svmRadialCost,8,1,basic latent features,ignore,none,range01,2.4077036543,random,321,2,cv,5,6,1,5,0.2798268231,,,,,,
NA,NA,169.993,NA,NA,Wed Aug 09 23:24:30 2017,svmRadialSigma,8,1,basic latent features,ignore,none,range01,2.4077036543,random,322,3,cv,5,6,1,5,0.4036320576,169.9926696668,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:24:30 2017,svmSpectrumString,8,1,basic latent features,ignore,none,range01,0,,,,,,,,,,,,,,,
0.786,0.782,-1,0.526,0.402,Wed Aug 09 23:24:36 2017,treebag,8,1,basic latent features,ignore,none,range01,2.4077036543,random,324,5,cv,5,6,1,5,none,,,,,,
1,1,3,0,0,Wed Aug 09 23:24:48 2017,widekernelpls,8,1,basic latent features,ignore,none,range01,2.4077036543,random,325,12,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:25:23 2017,WM,8,1,basic latent features,ignore,none,range01,34,,,,,,,,,,,,,,,
0.905,0.89,0.224,0.265,0.179,Wed Aug 09 23:25:34 2017,xgbLinear,8,1,basic latent features,ignore,none,range01,2.4077036543,random,327,11,cv,5,6,1,5,64,0.0419176664,0.0008428662,0.2236923357,,,
0.524,0.457,166,1.308,0.893,Wed Aug 09 23:26:43 2017,xgbTree,8,1,basic latent features,ignore,none,range01,2.4077036543,random,328,69,cv,5,6,1,5,166,4,0.3620016056,1.0059780045,0.6118560663,8,0.7919497089
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:26:48 2017,xyf,8,1,basic latent features,ignore,none,range01,5,,,,,,,,,,,,,,,
-0.006,-0.008,NA,0.965,0.781,Wed Aug 09 23:49:27 2017,avNNet,8,1,just random,ignore,none,range01,0.9568101405,random,437,16,cv,5,6,1,5,13,0.8267852205,TRUE,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:49:30 2017,bag,8,1,just random,ignore,none,range01,2,,,,,,,,,,,,,,,
-0.005,-0.003,4,0.96,0.78,Wed Aug 09 23:50:20 2017,bagEarth,8,1,just random,ignore,none,range01,0.9568101405,random,439,50,cv,5,6,1,5,4,2,,,,,
-0.017,-0.015,-1,0.972,0.789,Wed Aug 09 23:50:35 2017,bagEarthGCV,8,1,just random,ignore,none,range01,0.9568101405,random,440,15,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:50:40 2017,bam,8,1,just random,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:50:41 2017,bartMachine,8,1,just random,ignore,none,range01,1,,,,,,,,,,,,,,,
-0.027,-0.027,-1,0.982,0.797,Wed Aug 09 23:50:43 2017,bayesglm,8,1,just random,ignore,none,range01,0.9568101405,random,443,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:51:11 2017,blasso,8,1,just random,ignore,none,range01,27,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:51:38 2017,blassoAveraged,8,1,just random,ignore,none,range01,27,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:52:05 2017,bridge,8,1,just random,ignore,none,range01,27,,,,,,,,,,,,,,,
-0.009,-0.011,56,0.968,0.783,Wed Aug 09 23:52:53 2017,BstLm,8,1,just random,ignore,none,range01,0.9568101405,random,447,48,cv,5,6,1,5,56,0.2681484738,,,,,
-0.002,-0.005,1,0.961,0.777,Wed Aug 09 23:53:06 2017,cforest,8,1,just random,ignore,none,range01,0.9568101405,random,448,13,cv,5,6,1,5,1,,,,,,
-0.001,-0.004,0.742,0.961,0.777,Wed Aug 09 23:53:09 2017,ctree,8,1,just random,ignore,none,range01,0.9568101405,random,449,3,cv,5,6,1,5,0.7415185466,,,,,,
-0.001,-0.004,0.674,0.961,0.777,Wed Aug 09 23:53:13 2017,ctree2,8,1,just random,ignore,none,range01,0.9568101405,random,450,3,cv,5,6,1,5,2,0.6742577257,,,,,
-0.02,-0.024,9,0.979,0.792,Wed Aug 09 23:53:55 2017,cubist,8,1,just random,ignore,none,range01,0.9568101405,random,451,42,cv,5,6,1,5,9,9,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:53:59 2017,DENFIS,8,1,just random,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.064,-0.056,0.065,1.011,0.825,Wed Aug 09 23:54:04 2017,dnn,8,1,just random,ignore,none,range01,0.9568101405,random,453,5,cv,5,6,1,5,15,11,12,0.0045359123,0.0649062236,,
-0.001,-0.004,3,0.961,0.777,Wed Aug 09 23:54:07 2017,earth,8,1,just random,ignore,none,range01,0.9568101405,random,454,3,cv,5,6,1,5,3,2,,,,,
-0.041,-0.022,NA,0.978,0.807,Wed Aug 09 23:54:10 2017,elm,8,1,just random,ignore,none,range01,0.9568101405,random,455,2,cv,5,6,1,5,9,radbas,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:54:13 2017,enet,8,1,just random,ignore,none,range01,3,,,,,,,,,,,,,,,
0.007,-0.014,3.67,0.97,0.77,Wed Aug 09 23:55:50 2017,evtree,8,1,just random,ignore,none,range01,0.9568101405,random,457,97,cv,5,6,1,5,3.6698556757,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:55:51 2017,extraTrees,8,1,just random,ignore,none,range01,1,,,,,,,,,,,,,,,
-0.02,-0.021,7,0.976,0.792,Wed Aug 09 23:55:54 2017,foba,8,1,just random,ignore,none,range01,0.9568101405,random,459,2,cv,5,6,1,5,7,0.3524749524,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:55:58 2017,gam,8,1,just random,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:56:02 2017,gamboost,8,1,just random,ignore,none,range01,4,,,,,,,,,,,,,,,
-0.024,-0.024,1.158,0.98,0.795,Wed Aug 09 23:56:11 2017,gamSpline,8,1,just random,ignore,none,range01,0.9568101405,random,462,8,cv,5,6,1,5,1.1577964213,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:56:15 2017,gaussprLinear,8,1,just random,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:56:23 2017,gaussprPoly,8,1,just random,ignore,none,range01,7,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:56:32 2017,gaussprRadial,8,1,just random,ignore,none,range01,9,,,,,,,,,,,,,,,
-0.073,-0.048,21,1.003,0.832,Wed Aug 09 23:57:06 2017,gbm,8,1,just random,ignore,none,range01,0.9568101405,random,466,34,cv,5,6,1,5,21,3,0.2446880387,13,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:57:30 2017,gbm_h2o,8,1,just random,ignore,none,range01,23,,,,,,,,,,,,,,,
-0.034,-0.033,-1,0.988,0.802,Wed Aug 09 23:57:32 2017,gcvEarth,8,1,just random,ignore,none,range01,0.9568101405,random,468,2,cv,5,6,1,5,1,,,,,,
-0.028,-0.027,-1,0.983,0.797,Wed Aug 09 23:57:34 2017,glm,8,1,just random,ignore,none,range01,0.9568101405,random,469,2,cv,5,6,1,5,none,,,,,,
-0.028,-0.028,NA,0.983,0.798,Wed Aug 09 23:57:38 2017,glm.nb,8,1,just random,ignore,none,range01,0.9568101405,random,470,4,cv,5,6,1,5,identity,,,,,,
-0.003,-0.006,NA,0.962,0.778,Wed Aug 09 23:57:48 2017,glmboost,8,1,just random,ignore,none,range01,0.9568101405,random,471,9,cv,5,6,1,5,395,yes,,,,,
-0.001,-0.004,2.963,0.961,0.777,Wed Aug 09 23:57:51 2017,glmnet,8,1,just random,ignore,none,range01,0.9568101405,random,472,3,cv,5,6,1,5,0.1213685675,2.9631897548,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:58:14 2017,glmnet_h2o,8,1,just random,ignore,none,range01,23,,,,,,,,,,,,,,,
-0.001,-0.004,-1,0.961,0.777,Wed Aug 09 23:58:19 2017,glmStepAIC,8,1,just random,ignore,none,range01,0.9568101405,random,474,4,cv,5,6,1,5,none,,,,,,
-0.012,-0.014,3,0.971,0.785,Wed Aug 09 23:58:27 2017,icr,8,1,just random,ignore,none,range01,0.9568101405,random,475,8,cv,5,6,1,5,3,,,,,,
-0.028,-0.027,2,0.982,0.797,Wed Aug 09 23:58:29 2017,kernelpls,8,1,just random,ignore,none,range01,0.9568101405,random,476,2,cv,5,6,1,5,2,,,,,,
-0.041,-0.052,NA,1.006,0.808,Wed Aug 09 23:58:38 2017,kknn,8,1,just random,ignore,none,range01,0.9568101405,random,477,9,cv,5,6,1,5,24,0.0850445435,epanechnikov,,,,
-0.01,-0.016,64,0.972,0.784,Wed Aug 09 23:58:41 2017,knn,8,1,just random,ignore,none,range01,0.9568101405,random,478,2,cv,5,6,1,5,64,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:58:44 2017,krlsPoly,8,1,just random,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:58:48 2017,krlsRadial,8,1,just random,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.006,-0.009,0.114,0.966,0.781,Wed Aug 09 23:58:50 2017,lars,8,1,just random,ignore,none,range01,0.9568101405,random,481,2,cv,5,6,1,5,0.113532909,,,,,,
-0.015,-0.017,5,0.973,0.787,Wed Aug 09 23:58:52 2017,lars2,8,1,just random,ignore,none,range01,0.9568101405,random,482,2,cv,5,6,1,5,5,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:58:55 2017,lasso,8,1,just random,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.022,-0.023,3,0.979,0.792,Wed Aug 09 23:58:57 2017,leapBackward,8,1,just random,ignore,none,range01,0.9568101405,random,484,2,cv,5,6,1,5,3,,,,,,
-0.025,-0.025,4,0.981,0.795,Wed Aug 09 23:58:59 2017,leapForward,8,1,just random,ignore,none,range01,0.9568101405,random,485,2,cv,5,6,1,5,4,,,,,,
-0.022,-0.023,3,0.979,0.792,Wed Aug 09 23:59:01 2017,leapSeq,8,1,just random,ignore,none,range01,0.9568101405,random,486,2,cv,5,6,1,5,3,,,,,,
-0.028,-0.027,-1,0.983,0.797,Wed Aug 09 23:59:03 2017,lm,8,1,just random,ignore,none,range01,0.9568101405,random,487,2,cv,5,6,1,5,TRUE,,,,,,
