0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNet,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:30:17 2017,enet,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
0.639,0.631,2.423,0.837,0.638,Wed Aug 09 23:34:46 2017,evtree,8,1,basic latent features,ignore,none,asis,2.2690738688,random,350,269,cv,5,6,1,5,2.4225164419,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:34:47 2017,extraTrees,8,1,basic latent features,ignore,none,asis,1,,,,,,,,,,,,,,,
0.995,0.995,5,0.01,0.008,Wed Aug 09 23:34:49 2017,foba,8,1,basic latent features,ignore,none,asis,2.2690738688,random,352,2,cv,5,6,1,5,5,0.0051555418,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:34:54 2017,gam,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:34:58 2017,gamboost,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
1,1,0.481,NA,NA,Wed Aug 09 23:35:11 2017,gamSpline,8,1,basic latent features,ignore,none,asis,2.2690738688,random,355,13,cv,5,6,1,5,0.4809045873,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:35:16 2017,gaussprLinear,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:35:23 2017,gaussprPoly,8,1,basic latent features,ignore,none,asis,7,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:35:32 2017,gaussprRadial,8,1,basic latent features,ignore,none,asis,9,,,,,,,,,,,,,,,
0.871,0.835,2880,0.375,0.228,Wed Aug 09 23:35:59 2017,gbm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,359,26,cv,5,6,1,5,2880,5,0.1515080387,13,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:36:22 2017,gbm_h2o,8,1,basic latent features,ignore,none,asis,23,,,,,,,,,,,,,,,
0.983,0.984,-1,0.037,0.03,Wed Aug 09 23:36:24 2017,gcvEarth,8,1,basic latent features,ignore,none,asis,2.2690738688,random,361,2,cv,5,6,1,5,1,,,,,,
1,1,-1,NA,NA,Wed Aug 09 23:36:26 2017,glm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,362,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:36:30 2017,glm.nb,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
1,1,NA,NA,NA,Wed Aug 09 23:36:39 2017,glmboost,8,1,basic latent features,ignore,none,asis,2.2690738688,random,364,9,cv,5,6,1,5,883,no,,,,,
0.969,0.969,0.005,0.07,0.055,Wed Aug 09 23:36:42 2017,glmnet,8,1,basic latent features,ignore,none,asis,2.2690738688,random,365,3,cv,5,6,1,5,0.9833535007,0.0053381383,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:37:05 2017,glmnet_h2o,8,1,basic latent features,ignore,none,asis,23,,,,,,,,,,,,,,,
1,1,-1,NA,NA,Wed Aug 09 23:37:09 2017,glmStepAIC,8,1,basic latent features,ignore,none,asis,2.2690738688,random,367,3,cv,5,6,1,5,none,,,,,,
1,1,8,NA,NA,Wed Aug 09 23:37:17 2017,icr,8,1,basic latent features,ignore,none,asis,2.2690738688,random,368,8,cv,5,6,1,5,8,,,,,,
1,1,3,NA,NA,Wed Aug 09 23:37:19 2017,kernelpls,8,1,basic latent features,ignore,none,asis,2.2690738688,random,369,2,cv,5,6,1,5,3,,,,,,
0.914,0.892,NA,0.246,0.153,Wed Aug 09 23:37:29 2017,kknn,8,1,basic latent features,ignore,none,asis,2.2690738688,random,370,9,cv,5,6,1,5,31,0.6270296273,triangular,,,,
0.862,0.827,21,0.392,0.245,Wed Aug 09 23:37:31 2017,knn,8,1,basic latent features,ignore,none,asis,2.2690738688,random,371,2,cv,5,6,1,5,21,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:37:35 2017,krlsPoly,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:37:38 2017,krlsRadial,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
0.877,0.877,0.758,0.28,0.218,Wed Aug 09 23:37:41 2017,lars,8,1,basic latent features,ignore,none,asis,2.2690738688,random,374,2,cv,5,6,1,5,0.7575039263,,,,,,
1,1,9,NA,NA,Wed Aug 09 23:37:43 2017,lars2,8,1,basic latent features,ignore,none,asis,2.2690738688,random,375,2,cv,5,6,1,5,9,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:37:46 2017,lasso,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
1,1,6,NA,NA,Wed Aug 09 23:37:48 2017,leapBackward,8,1,basic latent features,ignore,none,asis,2.2690738688,random,377,2,cv,5,6,1,5,6,,,,,,
1,1,7,NA,NA,Wed Aug 09 23:37:50 2017,leapForward,8,1,basic latent features,ignore,none,asis,2.2690738688,random,378,2,cv,5,6,1,5,7,,,,,,
1,1,8,NA,NA,Wed Aug 09 23:37:52 2017,leapSeq,8,1,basic latent features,ignore,none,asis,2.2690738688,random,379,2,cv,5,6,1,5,8,,,,,,
1,1,-1,NA,NA,Wed Aug 09 23:37:54 2017,lm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,380,2,cv,5,6,1,5,TRUE,,,,,,
1,1,-1,NA,NA,Wed Aug 09 23:37:57 2017,lmStepAIC,8,1,basic latent features,ignore,none,asis,2.2690738688,random,381,3,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:00 2017,logicBag,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:04 2017,logreg,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:04 2017,M5,8,1,basic latent features,ignore,none,asis,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:05 2017,M5Rules,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
0.994,0.994,3.646,NA,NA,Wed Aug 09 23:38:15 2017,msaenet,8,1,basic latent features,ignore,none,asis,2.2690738688,random,386,9,cv,5,6,1,5,0.7526106009,7,3.6457468427,,,,
0.243,0.15,0.002,1.929,1.339,Wed Aug 09 23:38:23 2017,nnet,8,1,basic latent features,ignore,none,asis,2.2690738688,random,387,8,cv,5,6,1,5,8,0.0017182235,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:26 2017,nnls,8,1,basic latent features,ignore,none,asis,2,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:38:26 2017,ordinalNet,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
0.914,0.886,4,0.259,0.152,Wed Aug 09 23:38:47 2017,parRF,8,1,basic latent features,ignore,none,asis,2.2690738688,random,390,20,cv,5,6,1,5,4,,,,,,
0.243,0.15,0.001,1.929,1.34,Wed Aug 09 23:38:53 2017,pcaNNet,8,1,basic latent features,ignore,none,asis,2.2690738688,random,391,6,cv,5,6,1,5,10,0.0010190308,,,,,
1,1,4,NA,NA,Wed Aug 09 23:38:55 2017,pcr,8,1,basic latent features,ignore,none,asis,2.2690738688,random,392,2,cv,5,6,1,5,4,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 09 23:39:01 2017,pls,8,1,basic latent features,ignore,none,asis,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:39:05 2017,plsRglm,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
0.992,0.946,1,0.123,0.015,Wed Aug 09 23:39:09 2017,ppr,8,1,basic latent features,ignore,none,asis,2.2690738688,random,395,3,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 09 23:39:15 2017,pythonKnnReg,8,1,basic latent features,ignore,none,asis,10,,,,,,,,,,,,,,,
0.749,0.758,8,0.548,0.444,Wed Aug 09 23:39:47 2017,qrf,8,1,basic latent features,ignore,none,asis,2.2690738688,random,397,31,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:39:51 2017,qrnn,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:39:52 2017,randomGLM,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
0.912,0.885,4,0.262,0.155,Wed Aug 09 23:40:00 2017,ranger,8,1,basic latent features,ignore,none,asis,2.2690738688,random,400,8,cv,5,6,1,5,4,,,,,,
0.915,0.888,3,0.255,0.151,Wed Aug 09 23:41:45 2017,Rborist,8,1,basic latent features,ignore,none,asis,2.2690738688,random,401,105,cv,5,6,1,5,3,,,,,,
1,1,0.209,NA,NA,Wed Aug 09 23:41:48 2017,relaxo,8,1,basic latent features,ignore,none,asis,2.2690738688,random,402,3,cv,5,6,1,5,0.2092928049,0.5474800046,,,,,
0.913,0.884,4,0.262,0.154,Wed Aug 09 23:42:08 2017,rf,8,1,basic latent features,ignore,none,asis,2.2690738688,random,403,20,cv,5,6,1,5,4,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:42:12 2017,ridge,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:42:16 2017,rlm,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
0.799,0.789,0.001,0.478,0.355,Wed Aug 09 23:42:18 2017,rpart,8,1,basic latent features,ignore,none,asis,2.2690738688,random,406,2,cv,5,6,1,5,0.0014325343,,,,,,
0.692,0.707,-1,0.664,0.544,Wed Aug 09 23:42:20 2017,rpart1SE,8,1,basic latent features,ignore,none,asis,2.2690738688,random,407,2,cv,5,6,1,5,none,,,,,,
0.692,0.707,12,0.664,0.544,Wed Aug 09 23:42:22 2017,rpart2,8,1,basic latent features,ignore,none,asis,2.2690738688,random,408,2,cv,5,6,1,5,12,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:42:23 2017,rqlasso,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:42:24 2017,rqnc,8,1,basic latent features,ignore,none,asis,1,,,,,,,,,,,,,,,
0.913,0.888,0.925,0.254,0.154,Wed Aug 09 23:42:51 2017,RRF,8,1,basic latent features,ignore,none,asis,2.2690738688,random,411,27,cv,5,6,1,5,2,0.1614741357,0.9250629265,,,,
0.912,0.884,0.374,0.264,0.156,Wed Aug 09 23:43:09 2017,RRFglobal,8,1,basic latent features,ignore,none,asis,2.2690738688,random,412,18,cv,5,6,1,5,4,0.3739780139,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:43:16 2017,rvmLinear,8,1,basic latent features,ignore,none,asis,7,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:43:56 2017,rvmPoly,8,1,basic latent features,ignore,none,asis,40,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:44:43 2017,rvmRadial,8,1,basic latent features,ignore,none,asis,47,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:44:47 2017,SBC,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
1,1,3,NA,NA,Wed Aug 09 23:44:49 2017,simpls,8,1,basic latent features,ignore,none,asis,2.2690738688,random,417,2,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:45:56 2017,spikeslab,8,1,basic latent features,ignore,none,asis,66,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:45:59 2017,spls,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:46:02 2017,superpc,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:46:03 2017,svmBoundrangeString,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:46:03 2017,svmExpoString,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
NA,NA,0.839,NA,NA,Wed Aug 09 23:46:06 2017,svmLinear,8,1,basic latent features,ignore,none,asis,2.2690738688,random,423,3,cv,5,6,1,5,0.839187238,,,,,,
0.982,0.982,0.148,0.04,0.033,Wed Aug 09 23:46:09 2017,svmLinear2,8,1,basic latent features,ignore,none,asis,2.2690738688,random,424,2,cv,5,6,1,5,0.148170515,,,,,,
0.982,0.983,NA,0.039,0.031,Wed Aug 09 23:46:12 2017,svmLinear3,8,1,basic latent features,ignore,none,asis,2.2690738688,random,425,2,cv,5,6,1,5,642.8850621675,L2,,,,,
NA,NA,8.724,NA,NA,Wed Aug 09 23:46:43 2017,svmPoly,8,1,basic latent features,ignore,none,asis,2.2690738688,random,426,30,cv,5,6,1,5,1,0.0215828479,8.7235695958,,,,
NA,NA,115.744,NA,NA,Wed Aug 09 23:46:46 2017,svmRadial,8,1,basic latent features,ignore,none,asis,2.2690738688,random,427,3,cv,5,6,1,5,0.0247440673,115.7438651491,,,,,
NA,NA,28.587,NA,NA,Wed Aug 09 23:46:49 2017,svmRadialCost,8,1,basic latent features,ignore,none,asis,2.2690738688,random,428,3,cv,5,6,1,5,28.5865685876,,,,,,
NA,NA,14.012,NA,NA,Wed Aug 09 23:46:52 2017,svmRadialSigma,8,1,basic latent features,ignore,none,asis,2.2690738688,random,429,3,cv,5,6,1,5,0.0013260263,14.0119384851,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:46:53 2017,svmSpectrumString,8,1,basic latent features,ignore,none,asis,0,,,,,,,,,,,,,,,
0.775,0.772,-1,0.517,0.397,Wed Aug 09 23:46:58 2017,treebag,8,1,basic latent features,ignore,none,asis,2.2690738688,random,431,5,cv,5,6,1,5,none,,,,,,
1,1,3,NA,NA,Wed Aug 09 23:47:12 2017,widekernelpls,8,1,basic latent features,ignore,none,asis,2.2690738688,random,432,13,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:47:40 2017,WM,8,1,basic latent features,ignore,none,asis,28,,,,,,,,,,,,,,,
0.907,0.89,1.4,0.249,0.165,Wed Aug 09 23:47:54 2017,xgbLinear,8,1,basic latent features,ignore,none,asis,2.2690738688,random,434,13,cv,5,6,1,5,78,8.73735680937321e-05,0.1824620363,1.3998811031,,,
0.873,0.855,212,0.329,0.224,Wed Aug 09 23:49:02 2017,xgbTree,8,1,basic latent features,ignore,none,asis,2.2690738688,random,435,68,cv,5,6,1,5,212,7,0.2537724476,0.1002471824,0.4350821454,10,0.7693840917
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:49:07 2017,xyf,8,1,basic latent features,ignore,none,asis,4,,,,,,,,,,,,,,,
-0.021,-0.007,NA,1.091,0.861,Thu Aug 10 00:11:30 2017,avNNet,8,1,just random,ignore,none,asis,1.0830736745,random,544,37,cv,5,6,1,5,16,2.26281615863479e-05,TRUE,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:11:33 2017,bag,8,1,just random,ignore,none,asis,2,,,,,,,,,,,,,,,
-0.004,-0.001,3,1.084,0.847,Thu Aug 10 00:12:32 2017,bagEarth,8,1,just random,ignore,none,asis,1.0830736745,random,546,58,cv,5,6,1,5,3,1,,,,,
-0.037,-0.027,-1,1.112,0.874,Thu Aug 10 00:12:47 2017,bagEarthGCV,8,1,just random,ignore,none,asis,1.0830736745,random,547,15,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:12:51 2017,bam,8,1,just random,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:12:52 2017,bartMachine,8,1,just random,ignore,none,asis,1,,,,,,,,,,,,,,,
-0.014,-0.017,-1,1.101,0.855,Thu Aug 10 00:12:55 2017,bayesglm,8,1,just random,ignore,none,asis,1.0830736745,random,550,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:13:23 2017,blasso,8,1,just random,ignore,none,asis,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:13:51 2017,blassoAveraged,8,1,just random,ignore,none,asis,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:14:19 2017,bridge,8,1,just random,ignore,none,asis,28,,,,,,,,,,,,,,,
-0.01,-0.014,219,1.098,0.852,Thu Aug 10 00:15:34 2017,BstLm,8,1,just random,ignore,none,asis,1.0830736745,random,554,74,cv,5,6,1,5,219,0.0533420255,,,,,
-0.002,-0.001,1,1.084,0.845,Thu Aug 10 00:15:44 2017,cforest,8,1,just random,ignore,none,asis,1.0830736745,random,555,10,cv,5,6,1,5,1,,,,,,
0,0,0.799,1.083,0.844,Thu Aug 10 00:15:48 2017,ctree,8,1,just random,ignore,none,asis,1.0830736745,random,556,3,cv,5,6,1,5,0.7990580376,,,,,,
0,0,0.109,1.083,0.844,Thu Aug 10 00:15:51 2017,ctree2,8,1,just random,ignore,none,asis,1.0830736745,random,557,3,cv,5,6,1,5,1,0.1093003268,,,,,
-0.128,-0.116,9,1.209,0.952,Thu Aug 10 00:16:33 2017,cubist,8,1,just random,ignore,none,asis,1.0830736745,random,558,42,cv,5,6,1,5,98,9,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:16:37 2017,DENFIS,8,1,just random,ignore,none,asis,4,,,,,,,,,,,,,,,
-0.001,0,0.084,1.083,0.844,Thu Aug 10 00:16:42 2017,dnn,8,1,just random,ignore,none,asis,1.0830736745,random,560,5,cv,5,6,1,5,5,12,18,0.0161721139,0.0840782223,,
0,0,3,1.083,0.844,Thu Aug 10 00:16:46 2017,earth,8,1,just random,ignore,none,asis,1.0830736745,random,561,4,cv,5,6,1,5,3,1,,,,,
-0.004,-0.013,NA,1.097,0.846,Thu Aug 10 00:16:48 2017,elm,8,1,just random,ignore,none,asis,1.0830736745,random,562,2,cv,5,6,1,5,5,radbas,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:16:52 2017,enet,8,1,just random,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.036,-0.022,2.949,1.107,0.874,Thu Aug 10 00:18:44 2017,evtree,8,1,just random,ignore,none,asis,1.0830736745,random,564,112,cv,5,6,1,5,2.9490987957,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:18:45 2017,extraTrees,8,1,just random,ignore,none,asis,1,,,,,,,,,,,,,,,
0,-0.002,4,1.086,0.844,Thu Aug 10 00:18:48 2017,foba,8,1,just random,ignore,none,asis,1.0830736745,random,566,2,cv,5,6,1,5,4,1.9496376762,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:18:52 2017,gam,8,1,just random,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:18:56 2017,gamboost,8,1,just random,ignore,none,asis,4,,,,,,,,,,,,,,,
-0.012,-0.015,1.808,1.1,0.853,Thu Aug 10 00:19:05 2017,gamSpline,8,1,just random,ignore,none,asis,1.0830736745,random,569,8,cv,5,6,1,5,1.808194163,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:19:09 2017,gaussprLinear,8,1,just random,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:19:17 2017,gaussprPoly,8,1,just random,ignore,none,asis,8,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:19:26 2017,gaussprRadial,8,1,just random,ignore,none,asis,8,,,,,,,,,,,,,,,
-0.235,-0.2,3469,1.299,1.042,Thu Aug 10 00:20:23 2017,gbm,8,1,just random,ignore,none,asis,1.0830736745,random,573,57,cv,5,6,1,5,3469,9,0.1966476598,12,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:20:47 2017,gbm_h2o,8,1,just random,ignore,none,asis,23,,,,,,,,,,,,,,,
-0.054,-0.028,-1,1.114,0.889,Thu Aug 10 00:20:50 2017,gcvEarth,8,1,just random,ignore,none,asis,1.0830736745,random,575,2,cv,5,6,1,5,1,,,,,,
-0.014,-0.017,-1,1.101,0.855,Thu Aug 10 00:20:52 2017,glm,8,1,just random,ignore,none,asis,1.0830736745,random,576,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:20:55 2017,glm.nb,8,1,just random,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.001,0,NA,1.083,0.844,Thu Aug 10 00:21:04 2017,glmboost,8,1,just random,ignore,none,asis,1.0830736745,random,578,9,cv,5,6,1,5,312,yes,,,,,
0,0,6.556,1.083,0.844,Thu Aug 10 00:21:07 2017,glmnet,8,1,just random,ignore,none,asis,1.0830736745,random,579,3,cv,5,6,1,5,0.6222170263,6.5561644247,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:21:30 2017,glmnet_h2o,8,1,just random,ignore,none,asis,23,,,,,,,,,,,,,,,
0,0,-1,1.083,0.844,Thu Aug 10 00:21:35 2017,glmStepAIC,8,1,just random,ignore,none,asis,1.0830736745,random,581,4,cv,5,6,1,5,none,,,,,,
0.002,0,2,1.083,0.842,Thu Aug 10 00:21:45 2017,icr,8,1,just random,ignore,none,asis,1.0830736745,random,582,10,cv,5,6,1,5,2,,,,,,
-0.011,-0.016,1,1.101,0.853,Thu Aug 10 00:21:47 2017,kernelpls,8,1,just random,ignore,none,asis,1.0830736745,random,583,2,cv,5,6,1,5,1,,,,,,
-0.043,-0.037,NA,1.123,0.88,Thu Aug 10 00:22:01 2017,kknn,8,1,just random,ignore,none,asis,1.0830736745,random,584,14,cv,5,6,1,5,42,2.5966020981,epanechnikov,,,,
-0.013,-0.006,50,1.089,0.854,Thu Aug 10 00:22:04 2017,knn,8,1,just random,ignore,none,asis,1.0830736745,random,585,2,cv,5,6,1,5,50,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:22:07 2017,krlsPoly,8,1,just random,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:22:11 2017,krlsRadial,8,1,just random,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.001,-0.001,0.057,1.084,0.844,Thu Aug 10 00:22:13 2017,lars,8,1,just random,ignore,none,asis,1.0830736745,random,588,2,cv,5,6,1,5,0.0570059028,,,,,,
0,0,1,1.083,0.844,Thu Aug 10 00:22:15 2017,lars2,8,1,just random,ignore,none,asis,1.0830736745,random,589,2,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 00:22:18 2017,lasso,8,1,just random,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.012,-0.014,4,1.099,0.853,Thu Aug 10 00:22:20 2017,leapBackward,8,1,just random,ignore,none,asis,1.0830736745,random,591,2,cv,5,6,1,5,4,,,,,,
-0.012,-0.014,4,1.099,0.853,Thu Aug 10 00:22:22 2017,leapForward,8,1,just random,ignore,none,asis,1.0830736745,random,592,2,cv,5,6,1,5,4,,,,,,
-0.001,-0.008,2,1.092,0.844,Thu Aug 10 00:22:24 2017,leapSeq,8,1,just random,ignore,none,asis,1.0830736745,random,593,2,cv,5,6,1,5,2,,,,,,
